Row Label,County,F. Milene Henley
Friday Harbor North,SJ,315
San Juan South East,SJ,263
Lopez North,SJ,574
Total,SJ,5432
Decatur and Outer Is,SJ,22
Shaw,SJ,68
San Juan West,SJ,328
Turn Point,SJ,169
San Juan South West,SJ,374
Orcas East,SJ,375
Eastsound,SJ,442
Blakely &amp; Outer Is,SJ,21
Friday Harbor South,SJ,248
Waldron &amp; Outer Is,SJ,34
Orcas Central,SJ,427
San Juan North,SJ,307
Lopez South,SJ,403
Orcas West,SJ,422
San Juan East,SJ,295
San Juan Central,SJ,345
