Row Label,County,Gina R. McCabe,Paul George
COLUMBUS,KT,32,9
N DALLES,KT,252,113
ROOSEVELT,KT,55,10
GLENWOOD,KT,227,63
HGH PRAIRIE,KT,45,28
LYLE,KT,262,157
F VALLEY,KT,211,161
BINGEN,KT,67,71
WISHRAM,KT,48,38
WHITE SALMON,KT,231,225
ALDER CREEK,KT,137,20
ALDERDALE,KT,29,9
N WHITE SALMON,KT,136,144
PINE FOREST,KT,515,248
GOLDENDALE 3,KT,202,107
ORCHARD HTS,KT,187,49
GOLDENDALE 1,KT,305,116
N F VALLEY,KT,266,145
E LYLE,KT,85,64
E KLICKITAT,KT,52,39
W KLICKITAT,KT,55,26
HUSUM,KT,243,113
TROUT LAKE,KT,195,157
RIVER,KT,13,10
CENTERVILLE,KT,227,80
WOODLAND,KT,596,195
GOLDENDALE 2,KT,257,121
MT BROOK,KT,180,127
Total,KT,5200,2669
APPLETON,KT,90,24
