Row Label,County,Vance W. Peterson
PCT 3329,SP,249
PCT 4448,SP,269
PCT 3323,SP,282
PCT 3322,SP,250
PCT 3321,SP,289
PCT 3320,SP,224
PCT 3327,SP,210
PCT 3326,SP,137
PCT 4438,SP,471
PCT 4439,SP,343
PCT 3325,SP,351
PCT 4432,SP,324
PCT 4433,SP,229
PCT 4430,SP,363
PCT 3324,SP,301
PCT 4436,SP,431
PCT 4437,SP,394
PCT 4434,SP,433
PCT 4435,SP,355
PCT 7028,SP,418
PCT 7029,SP,304
PCT 7020,SP,311
PCT 7021,SP,212
PCT 7022,SP,233
PCT 7023,SP,271
PCT 7024,SP,397
PCT 7025,SP,288
PCT 7026,SP,303
PCT 7027,SP,281
PCT 3222,SP,137
PCT 3223,SP,191
PCT 3220,SP,333
PCT 3221,SP,328
PCT 6221,SP,374
PCT 6220,SP,365
PCT 6223,SP,359
PCT 6222,SP,266
PCT 6225,SP,384
PCT 6224,SP,308
PCT 3128,SP,268
PCT 3121,SP,242
PCT 3120,SP,276
PCT 3123,SP,236
PCT 3122,SP,298
PCT 3125,SP,247
PCT 3124,SP,282
PCT 3127,SP,249
PCT 3126,SP,63
PCT 9400,SP,24
PCT 4034,SP,242
PCT 4035,SP,213
PCT 4032,SP,185
PCT 4033,SP,226
PCT 4030,SP,212
PCT 4031,SP,237
PCT 6315,SP,207
PCT 6314,SP,313
PCT 6317,SP,226
PCT 6316,SP,142
PCT 6311,SP,256
PCT 6310,SP,284
PCT 6313,SP,370
PCT 6312,SP,299
PCT 6318,SP,286
PCT 6009,SP,269
PCT 6008,SP,263
PCT 9700,SP,100
PCT 6001,SP,260
PCT 6000,SP,202
PCT 6003,SP,333
PCT 6002,SP,83
PCT 6005,SP,283
PCT 6004,SP,203
PCT 6007,SP,280
PCT 6006,SP,290
PCT 3301,SP,420
PCT 3300,SP,274
PCT 3303,SP,318
PCT 3302,SP,310
PCT 3305,SP,227
PCT 3304,SP,299
PCT 3307,SP,219
PCT 3306,SP,301
PCT 3309,SP,304
PCT 3308,SP,309
PCT 6500,SP,68
PCT 6218,SP,305
PCT 6219,SP,310
PCT 6210,SP,369
PCT 6211,SP,241
PCT 6212,SP,208
PCT 6213,SP,353
PCT 6214,SP,255
PCT 6215,SP,357
PCT 6216,SP,295
PCT 6217,SP,353
PCT 3110,SP,210
PCT 3111,SP,212
PCT 3112,SP,15
PCT 3113,SP,300
PCT 3114,SP,299
PCT 3115,SP,277
PCT 3116,SP,292
PCT 3117,SP,210
PCT 3118,SP,194
PCT 3119,SP,240
PCT 4429,SP,346
PCT 4428,SP,234
PCT 4425,SP,255
PCT 4424,SP,307
PCT 4427,SP,401
PCT 4426,SP,188
PCT 4421,SP,253
PCT 4420,SP,159
PCT 4423,SP,426
PCT 4422,SP,343
PCT 7033,SP,205
PCT 7032,SP,308
PCT 7031,SP,301
PCT 7030,SP,322
PCT 7036,SP,238
PCT 7035,SP,201
PCT 7034,SP,202
PCT 6602,SP,303
PCT 6601,SP,276
PCT 6600,SP,294
PCT 6030,SP,412
PCT 6031,SP,214
PCT 6032,SP,167
PCT 6033,SP,415
PCT 6034,SP,325
PCT 6035,SP,198
PCT 6036,SP,204
PCT 6037,SP,175
PCT 4450,SP,178
PCT 4451,SP,266
PCT 4452,SP,254
PCT 4453,SP,299
PCT 4454,SP,243
PCT 4455,SP,259
PCT 4029,SP,270
PCT 4028,SP,397
PCT 4021,SP,360
PCT 4020,SP,352
PCT 4023,SP,123
PCT 4022,SP,266
PCT 4025,SP,284
PCT 4024,SP,206
PCT 4027,SP,295
PCT 4026,SP,269
PCT 4431,SP,284
PCT 4414,SP,406
PCT 4415,SP,266
PCT 4416,SP,327
PCT 4417,SP,232
PCT 4410,SP,343
PCT 4411,SP,316
PCT 4412,SP,256
PCT 4413,SP,331
PCT 4418,SP,322
PCT 4419,SP,351
PCT 4201,SP,153
PCT 4200,SP,241
PCT 9600,SP,41
PCT 6100,SP,202
PCT 6101,SP,293
PCT 6102,SP,287
PCT 6103,SP,122
PCT 6104,SP,210
PCT 6105,SP,246
PCT 6106,SP,384
PCT 6107,SP,194
PCT 6108,SP,236
PCT 6109,SP,182
PCT 3208,SP,296
PCT 3209,SP,360
PCT 3200,SP,216
PCT 3201,SP,305
PCT 3202,SP,183
PCT 3203,SP,262
PCT 3204,SP,201
PCT 3205,SP,246
PCT 3206,SP,204
PCT 3207,SP,134
PCT 6209,SP,287
PCT 6208,SP,378
PCT 6203,SP,325
PCT 6202,SP,314
PCT 6201,SP,264
PCT 6200,SP,400
PCT 6207,SP,357
PCT 6206,SP,349
PCT 6205,SP,324
PCT 6204,SP,397
PCT 3103,SP,208
PCT 3102,SP,163
PCT 3101,SP,225
PCT 3100,SP,271
PCT 3107,SP,282
PCT 3106,SP,246
PCT 3105,SP,247
PCT 3104,SP,287
PCT 3109,SP,237
PCT 3108,SP,201
PCT 4010,SP,293
PCT 4011,SP,387
PCT 4012,SP,456
PCT 4013,SP,276
PCT 4014,SP,211
PCT 4015,SP,212
PCT 4016,SP,327
PCT 4017,SP,394
PCT 4018,SP,227
PCT 4019,SP,240
PCT 6704,SP,301
PCT 6702,SP,208
PCT 6703,SP,259
PCT 6700,SP,298
PCT 6701,SP,286
PCT 7008,SP,342
PCT 7009,SP,433
PCT 7006,SP,351
PCT 7007,SP,305
PCT 7004,SP,332
PCT 7005,SP,460
PCT 7002,SP,249
PCT 7003,SP,374
PCT 7000,SP,431
PCT 7001,SP,239
PCT 6023,SP,169
PCT 6022,SP,304
PCT 6021,SP,299
PCT 6020,SP,467
PCT 6027,SP,286
PCT 6026,SP,460
PCT 6025,SP,241
PCT 6024,SP,158
PCT 6029,SP,285
PCT 6028,SP,254
PCT 4449,SP,190
PCT 3328,SP,293
PCT 4443,SP,187
PCT 4442,SP,236
PCT 4441,SP,248
PCT 4440,SP,343
PCT 4447,SP,159
PCT 4446,SP,204
PCT 4445,SP,287
PCT 4444,SP,353
Total,SP,94262
PCT 7301,SP,236
PCT 7300,SP,266
PCT 7302,SP,229
PCT 4407,SP,328
PCT 4406,SP,312
PCT 4405,SP,381
PCT 4404,SP,369
PCT 4403,SP,379
PCT 4402,SP,335
PCT 4401,SP,349
PCT 4400,SP,310
PCT 4409,SP,443
PCT 4408,SP,388
PCT 3219,SP,271
PCT 3218,SP,327
PCT 3213,SP,326
PCT 3212,SP,205
PCT 3211,SP,238
PCT 3210,SP,247
PCT 3217,SP,387
PCT 3216,SP,347
PCT 3215,SP,168
PCT 3214,SP,258
PCT 4300,SP,238
PCT 4301,SP,158
PCT 4302,SP,321
PCT 4303,SP,289
PCT 4304,SP,212
PCT 4305,SP,207
PCT 4306,SP,274
PCT 4307,SP,72
PCT 9500,SP,102
PCT 4003,SP,449
PCT 4002,SP,283
PCT 4001,SP,252
PCT 4007,SP,233
PCT 4006,SP,402
PCT 4005,SP,247
PCT 4004,SP,325
PCT 4009,SP,275
PCT 4008,SP,209
PCT 6302,SP,235
PCT 6303,SP,449
PCT 6300,SP,495
PCT 6301,SP,448
PCT 6306,SP,272
PCT 6307,SP,154
PCT 6304,SP,382
PCT 6305,SP,199
PCT 6308,SP,182
PCT 6309,SP,319
PCT 3000,SP,5
PCT 7011,SP,191
PCT 7010,SP,236
PCT 7013,SP,286
PCT 7012,SP,271
PCT 7015,SP,277
PCT 7014,SP,250
PCT 7017,SP,303
PCT 7016,SP,425
PCT 7019,SP,297
PCT 7018,SP,373
PCT 9300,SP,58
PCT 6401,SP,148
PCT 6400,SP,254
PCT 6402,SP,309
PCT 6016,SP,201
PCT 6017,SP,426
PCT 6014,SP,152
PCT 6015,SP,165
PCT 6012,SP,203
PCT 6013,SP,219
PCT 6010,SP,40
PCT 6011,SP,266
PCT 6018,SP,384
PCT 6019,SP,407
PCT 3318,SP,281
PCT 3319,SP,247
PCT 3316,SP,348
PCT 3317,SP,411
PCT 3314,SP,265
PCT 3315,SP,339
PCT 3312,SP,375
PCT 3313,SP,401
PCT 3310,SP,300
PCT 3311,SP,202
PCT 9008,SP,38
PCT 9004,SP,262
PCT 9005,SP,97
PCT 9006,SP,305
PCT 9007,SP,82
PCT 9000,SP,334
PCT 9001,SP,229
PCT 9002,SP,206
PCT 9003,SP,150
