Row Label,County,Clint Didier,Dan Newhouse
Pct 008,FR,96,124
Pct 009,FR,30,40
Pct 002,FR,46,55
Pct 003,FR,24,27
Pct 001,FR,91,108
Pct 006,FR,49,60
Pct 007,FR,42,57
Pct 004,FR,42,42
Pct 005,FR,25,43
Pct 082,FR,101,16
Pct 083,FR,71,26
Pct 080,FR,234,64
Pct 081,FR,67,5
Pct 086,FR,65,22
Pct 087,FR,52,22
Pct 084,FR,32,16
Pct 085,FR,30,22
Pct 088,FR,20,25
Pct 089,FR,74,47
Pct 079,FR,106,26
Pct 078,FR,84,13
Pct 077,FR,51,14
Pct 076,FR,75,14
Pct 075,FR,27,18
Pct 074,FR,177,80
Pct 073,FR,155,132
Pct 072,FR,77,55
Pct 071,FR,132,41
Pct 070,FR,36,38
Pct 101,FR,78,34
Pct 100,FR,80,24
Pct 069,FR,24,13
Pct 064,FR,115,83
Pct 065,FR,48,61
Pct 066,FR,175,129
Pct 060,FR,53,48
Pct 061,FR,170,121
Pct 062,FR,207,179
Pct 063,FR,117,90
Pct 067(*),FR,0,0
Pct 059,FR,141,174
Pct 058,FR,19,11
Pct 051,FR,141,100
Pct 050,FR,107,144
Pct 053,FR,105,79
Pct 052,FR,34,25
Pct 055,FR,180,174
Pct 054,FR,57,45
Pct 057,FR,89,108
Pct 056,FR,93,84
Pct 046,FR,162,147
Pct 047,FR,8,18
Pct 044,FR,87,116
Pct 045,FR,140,126
Pct 042,FR,88,80
Pct 043,FR,85,95
Pct 040,FR,102,108
Pct 041,FR,53,84
Pct 048,FR,127,115
Pct 049,FR,140,130
Pct 033,FR,77,80
Pct 032,FR,219,177
Pct 031,FR,37,42
Pct 030,FR,32,30
Pct 037,FR,163,138
Pct 036,FR,152,163
Pct 035,FR,61,61
Pct 034,FR,110,164
Pct 039,FR,120,104
Pct 038,FR,116,96
Pct 020,FR,41,32
Pct 021,FR,15,29
Pct 022,FR,99,84
Pct 023,FR,167,170
Pct 024,FR,101,60
Pct 025,FR,40,30
Pct 026,FR,69,47
Pct 027,FR,35,44
Pct 028,FR,31,51
Pct 029,FR,42,60
Pct 068(*),FR,0,0
Pct 019,FR,99,82
Pct 018,FR,31,27
Pct 015,FR,48,72
Pct 014,FR,45,50
Pct 017,FR,50,79
Pct 016,FR,7,10
Pct 011,FR,50,56
Pct 010,FR,62,61
Pct 013,FR,39,40
Pct 012,FR,36,45
Pct 095,FR,53,18
Pct 094,FR,0,0
Pct 097,FR,29,21
Pct 096,FR,49,41
Pct 091,FR,4,8
Pct 090,FR,94,59
Pct 093,FR,88,72
Pct 092,FR,94,47
Total,FR,7942,6561
Pct 099,FR,29,6
Pct 098,FR,20,7
