Row Label,County,Eddie Yoon,Charles W. Johnson
Yelm 1,TH,74,157
Griffin,TH,72,186
Kaiser,TH,31,104
Smith Prairie,TH,99,218
Olympia 01,TH,68,164
Lacey 29,TH,104,185
Scott Lake South,TH,55,158
Tri Lakes,TH,48,108
Woodland,TH,66,196
Plumb,TH,84,228
Montgomery,TH,41,97
Olympia 10,TH,72,224
Delta(*),TH,0,0
Olympia 12,TH,37,98
Olympia 13,TH,86,183
Pleasant Hill,TH,91,217
Olympia 15,TH,70,145
Smith Lake,TH,86,206
Olympia 17,TH,52,127
Olympia 18,TH,70,185
Rocky Prairie,TH,53,142
Scatter Creek,TH,57,156
Lacey 06,TH,27,69
Henderson,TH,87,284
Mullen,TH,100,233
Marvin,TH,93,235
Rochester 4,TH,72,151
Rochester 5,TH,76,210
Rochester 2,TH,50,210
Rochester 3,TH,73,195
French,TH,83,233
Rochester 1,TH,88,243
Tumwater 11,TH,82,308
Evergreen Ballroom,TH,105,253
Littlerock,TH,129,330
Lacey 10,TH,71,229
Skookumchuck,TH,90,188
Delphi,TH,59,202
Tolmie,TH,33,78
Quince(*),TH,0,0
St Clair,TH,85,210
Olympia 58,TH,64,178
Tenino 01,TH,56,109
James,TH,67,165
Tumwater 10,TH,96,241
Lacey 14,TH,21,77
Olympia 07,TH,52,86
Olympia 06,TH,123,290
Olympia 05,TH,85,146
Olympia 04,TH,67,169
Olympia 03,TH,73,174
Olympia 02,TH,89,161
Plainview,TH,121,330
Lacey 27,TH,63,172
Delridge,TH,15,66
Military,TH,41,92
Lacey 16,TH,54,187
Lacey 39,TH,108,283
Olympia 09,TH,109,331
Sweet Briar,TH,111,259
Olympia 43,TH,92,225
Rainier 01,TH,62,131
Puget,TH,84,259
Olympia 11,TH,57,183
Vail,TH,100,232
Stedman,TH,51,154
Tumwater 13,TH,23,84
Zenkner Valley,TH,15,50
Trailblazer,TH,35,63
Libby,TH,64,171
Lackamas,TH,30,69
Broadway,TH,117,260
Johnson Point,TH,92,282
Sleater Kinney,TH,81,168
Medicine Creek,TH,30,104
Lacey 42,TH,22,59
Olympia 16,TH,13,33
Tumwater 12,TH,69,193
Prine,TH,26,31
Long Lake,TH,14,51
Lacey 33,TH,48,87
Olympia 53,TH,69,171
Lacey 31,TH,47,154
Lacey 30,TH,100,264
Greenridge,TH,44,126
Lacey 36,TH,65,91
Lacey 35,TH,30,64
Olympia 19,TH,72,155
Butler Cove,TH,57,212
Lacey 34,TH,43,104
Mud Bay,TH,85,183
Olympia 14,TH,67,155
Mclane,TH,53,162
Tumwater 15,TH,99,213
Lawrence Lake,TH,88,261
Lacey 45,TH,46,86
Olympia 38,TH,28,36
Tilley,TH,93,234
Yelm 3,TH,76,206
Hunter Point,TH,53,129
Skokomish,TH,72,155
Schneiders Prairie,TH,51,165
Grand Mound,TH,41,93
Alpine,TH,142,322
Hays,TH,58,154
Luhr Beach,TH,97,234
Berry Valley,TH,90,137
Freedom,TH,90,258
Morris,TH,103,193
Lacey 07,TH,70,142
Lacey 04,TH,39,87
Lacey 05,TH,48,115
Lacey 02,TH,58,123
Lacey 03,TH,59,178
Deschutes,TH,113,195
Olympia 50,TH,56,151
Tumwater 28,TH,75,289
Tumwater 29,TH,0,0
Friendly Grove,TH,39,134
Olympia 51,TH,13,50
Fair Oaks,TH,52,152
Woodard Creek,TH,68,171
Pines,TH,63,141
Scott Lake North,TH,34,92
Mushroom Corner,TH,79,178
Tumwater 14,TH,33,95
Yelm 2,TH,84,165
Deerbrush,TH,93,205
Henness,TH,105,339
Lacey 09,TH,43,76
Kinwood,TH,68,168
