Row Label,County,John Hansens
Griffin,BE,4
215,BE,150
Ridge,BE,0
Kiona,BE,315
210,BE,153
Hedges,BE,166
Weidle,BE,39
Randy,BE,90
W2 - P641,BE,156
W2 - P640,BE,207
135,BE,172
165,BE,148
W1 - P685,BE,274
W1 - P686,BE,241
W1 - P680,BE,293
W1 - P681,BE,214
W1 - P682,BE,343
W1 - P683,BE,216
Columbia,BE,0
El Rancho,BE,333
Benton South,BE,196
W3 - P545,BE,125
French,BE,33
289,BE,342
288,BE,206
(none),BE,212
281,BE,296
280,BE,272
283,BE,190
220,BE,121
285,BE,341
284,BE,202
287,BE,146
286,BE,175
235,BE,134
Pearson,BE,5
Apricot,BE,59
Benton East,BE,0
McBee,BE,2
Candy,BE,6
455,BE,199
Reata,BE,192
W1 - P670,BE,212
W3-P511,BE,18
W1 - P675,BE,99
W1 - P674,BE,160
265,BE,176
W1 - P676,BE,330
Harrington,BE,294
W3 - P558,BE,325
W3 - P559,BE,301
Carley,BE,0
W3 - P552,BE,237
W3 - P553,BE,222
W3 - P550,BE,259
W3 - P551,BE,201
W3 - P556,BE,293
W3 - P557,BE,254
WR 11,BE,245
W3 - P555,BE,200
WR 17,BE,169
130,BE,179
WR 16,BE,162
Benton North,BE,287
292,BE,179
293,BE,141
290,BE,249
Badger,BE,171
Sacagawea,BE,1
Crow Butte,BE,28
195,BE,172
Washington,BE,86
311,BE,0
310,BE,242
Mills,BE,279
Rattlesnake,BE,53
Liberty,BE,10
Vineyard,BE,0
271,BE,113
W1 - P660,BE,220
W1 - P667,BE,106
W1 - P664,BE,376
W1 - P665,BE,311
278,BE,244
279,BE,90
W1 - P668,BE,364
W1 - P669,BE,152
175,BE,361
Susie,BE,20
Walnut Grove,BE,145
Kennewick Valley,BE,216
Yakima,BE,5
Hawthorne,BE,145
Expansion,BE,1
W3 - P560,BE,111
255,BE,196
Yellowstone,BE,122
Cook,BE,12
Celilo,BE,247
WR 10,BE,23
Orchard,BE,12
300,BE,210
301,BE,226
Jewel,BE,31
305,BE,211
W1 - P657,BE,179
W1 - P656,BE,119
W1 - P655,BE,141
Shockley,BE,4
240,BE,286
W1 - P651,BE,51
W1 - P650,BE,275
Ivey,BE,164
105,BE,150
245,BE,166
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
Cascade,BE,205
270,BE,238
Roe,BE,14
WR 1,BE,115
W2 - P633,BE,235
Cone,BE,136
W3 - P540,BE,210
160,BE,255
291,BE,266
282,BE,339
W2 - P635,BE,274
Elk,BE,0
125,BE,144
450,BE,258
Salmon,BE,45
Umatilla,BE,90
W1 - P645,BE,48
W1 - P646,BE,81
Gage,BE,4
Bobbie,BE,0
W2 - P639,BE,144
W2 - P601,BE,122
W2 - P600,BE,110
Riverside,BE,244
W2 - P605,BE,164
W1 - P691,BE,40
170,BE,174
W3 - P505,BE,169
Buena Vista,BE,352
W3 - P500,BE,36
Demoss,BE,15
Sunny,BE,54
316,BE,0
180,BE,121
W2 - P570,BE,211
186,BE,69
Dot,BE,113
W2 - P575,BE,94
185,BE,92
250,BE,209
Onion,BE,0
465,BE,227
Horse Heaven,BE,32
460,BE,196
190,BE,219
315,BE,363
Enterprise,BE,152
W2 - P590,BE,157
W2 - P610,BE,146
W2 - P595,BE,168
Prosser North,BE,223
W2 - P615,BE,62
115,BE,130
W3 - P515,BE,120
W3 - P510,BE,108
225,BE,181
W2 - P565,BE,105
Canyon,BE,220
295,BE,226
W2 - P560,BE,125
Roza,BE,0
Edgewater,BE,171
W2 - P625,BE,221
110,BE,180
151,BE,388
150,BE,283
Vista,BE,105
WR 4,BE,305
Legion,BE,210
Cherry,BE,236
Oak,BE,103
WR 9,BE,172
WR 8,BE,293
W1-P663,BE,206
Paterson,BE,14
WR 2,BE,135
WR 3,BE,119
W2 - P626,BE,130
W2 - P580,BE,145
W3 - P520,BE,83
WR 7,BE,275
Chandler,BE,34
W3 - P525,BE,134
W2 - P585,BE,118
W2-P574,BE,128
230,BE,137
WR12,BE,285
WR13,BE,184
WR14,BE,313
WR15,BE,205
WR 6,BE,290
320,BE,321
WR 5,BE,94
155,BE,303
W2 - P620,BE,165
White Bluffs,BE,302
200,BE,177
145,BE,282
205,BE,155
140,BE,156
275,BE,86
W3 - P535,BE,102
W2 - P630,BE,201
Goose Ridge,BE,50
W2 - P634,BE,310
Reese,BE,25
W2 - P636,BE,233
W2 - P637,BE,266
W2 - P638,BE,270
Wheat,BE,0
Black Rock,BE,1
W1 - P690,BE,287
W3 - P530,BE,128
South,BE,163
Ida,BE,0
120,BE,208
Finley,BE,331
Tumble Weed,BE,39
Miller,BE,1
470,BE,170
260,BE,165
W3-P516,BE,10
Red Mountain,BE,198
Total,BE,38510
Clements,BE,52
