Row Label,County,Registered Voters,Richard Bathum,Times Blank Voted,Times Counted,Times Over Voted,Write-in
B-D 05-0239,KI,560,153,131,284,0,0
AUB 47-3585,KI,374,98,54,152,0,0
M-V 05-2841,KI,385,106,81,188,0,1
KEN 33-3232,KI,502,120,84,204,0,0
COV 47-0279,KI,832,218,146,369,0,5
COV 47-2843,KI,792,210,182,395,0,3
RNT 11-1012,KI,589,129,110,242,0,3
KEN 33-3629,KI,61,16,11,27,0,0
KEN 47-0835,KI,645,145,130,276,0,1
RNT 11-0964,KI,557,133,127,260,0,0
RNT 11-0962,KI,309,83,42,127,0,2
TIMBER,KI,664,188,169,358,0,1
B-D 05-0240,KI,419,113,90,207,0,4
KEN 47-3190,KI,693,137,100,241,0,4
M-V 05-3600,KI,616,142,128,270,0,0
RNT 11-3660,KI,341,96,75,174,0,3
AUB 47-3518,KI,640,150,159,309,0,0
KEN 47-2838,KI,650,193,111,307,0,3
PAC 30-0885,KI,762,174,163,342,0,5
PAC 30-0887,KI,796,207,122,332,0,3
PAC 30-0886,KI,668,166,120,287,0,1
DARWOOD,KI,472,151,128,285,0,6
RNT 41-3438,KI,365,86,74,160,0,0
BRIARWOOD,KI,582,140,151,293,0,2
KEN 47-0880,KI,362,88,59,148,0,1
KEN 47-3537,KI,557,136,112,249,0,1
AUB 47-0059,KI,678,190,175,365,0,0
RNT 33-0455,KI,767,180,155,339,0,4
KEN 47-3447,KI,248,67,39,107,0,1
KEN 47-2667,KI,528,112,62,176,0,2
RNT 11-1008,KI,662,142,114,264,0,8
RNT 11-1007,KI,315,64,85,149,0,0
RNT 11-1006,KI,453,96,98,194,0,0
RNT 11-1004,KI,317,75,65,141,0,1
AUB 47-0055,KI,391,89,67,156,0,0
KEN 47-0498,KI,231,63,31,94,0,0
PTARMIGAN,KI,344,105,86,195,0,4
SPRING LAKE,KI,745,192,238,431,0,1
AUB 31-0078,KI,404,102,91,193,0,0
AUB 31-0070,KI,655,185,80,267,0,2
RNT 37-0965,KI,708,212,130,346,0,4
AUB 47-3635,KI,746,153,138,295,0,4
WANDA,KI,417,115,87,205,0,3
RNT 11-3590,KI,710,195,127,327,0,5
M-V 05-3589,KI,725,206,136,343,0,1
COV 47-3551,KI,375,103,75,181,0,3
BETTY,KI,775,165,94,263,0,4
AUB 30-2702,KI,470,110,45,156,0,1
AUB 30-2703,KI,262,47,16,63,0,0
KEN 47-2985,KI,571,132,64,198,0,2
RNT 05-3698,KI,52,20,7,27,0,0
RNT 11-3564,KI,491,117,128,246,0,1
FAIRWEATHER,KI,269,89,75,164,0,0
MONEYSMITH,KI,669,205,185,390,0,0
MAPLE HILLS,KI,719,218,171,391,0,2
M-V 05-2748,KI,806,206,138,347,0,3
CROW,KI,389,81,111,197,0,5
KEN 33-3378,KI,725,199,134,333,0,0
RNT 37-0969,KI,0,0,0,0,0,0
RNT 11-2583,KI,838,205,161,368,0,2
RNT 11-2582,KI,795,177,88,270,0,5
RNT 11-2581,KI,668,155,160,322,0,7
RNT 37-0967,KI,503,144,90,236,0,2
KEN 33-2618,KI,795,189,114,306,0,3
M-V 05-3510,KI,381,125,88,213,0,0
RNT 11-0719,KI,243,78,55,134,0,1
RNT 11-0804,KI,842,198,142,342,0,2
TOTEM,KI,70,11,20,31,0,0
AUB 47-2729,KI,396,104,76,182,0,2
CLAY,KI,438,121,115,237,0,1
