Row Label,County,Dave McEachran
216,WM,260
217,WM,284
214,WM,214
215,WM,268
212,WM,182
213,WM,401
210,WM,267
211,WM,331
106    ,WM,305
260    ,WM,264
218,WM,252
219,WM,266
133,WM,212
132,WM,285
131,WM,459
130,WM,233
137,WM,190
135,WM,303
139,WM,231
138,WM,239
179    ,WM,88
182    ,WM,410
604    ,WM,441
162    ,WM,277
606    ,WM,462
175    ,WM,269
249    ,WM,338
610    ,WM,537
401,WM,228
248    ,WM,210
220,WM,277
124    ,WM,244
145    ,WM,528
173    ,WM,298
265    ,WM,250
120,WM,362
121,WM,247
122,WM,253
123,WM,238
125,WM,386
127,WM,502
129,WM,404
268,WM,20
166    ,WM,352
201    ,WM,525
304    ,WM,141
172    ,WM,218
111    ,WM,373
607    ,WM,420
160    ,WM,333
701,WM,381
115,WM,401
114,WM,198
117,WM,355
116,WM,265
110,WM,328
113,WM,360
112,WM,185
205,WM,232
118,WM,479
163    ,WM,267
261    ,WM,242
209,WM,303
509    ,WM,293
161    ,WM,204
251    ,WM,273
156    ,WM,170
252    ,WM,41
301,WM,468
302,WM,417
303,WM,433
611    ,WM,343
245,WM,147
244,WM,281
108,WM,452
246,WM,166
241,WM,234
240,WM,347
243,WM,305
242,WM,181
102,WM,268
103,WM,333
101,WM,263
107,WM,432
104,WM,249
105,WM,174
247,WM,151
253    ,WM,205
169    ,WM,462
605,WM,278
141    ,WM,485
140    ,WM,613
250    ,WM,372
259    ,WM,193
601,WM,624
507    ,WM,326
174    ,WM,270
255    ,WM,176
180    ,WM,286
254    ,WM,256
603,WM,388
181    ,WM,416
609    ,WM,562
504,WM,202
505,WM,403
502,WM,321
503,WM,423
501,WM,361
168    ,WM,453
257    ,WM,118
263    ,WM,204
177    ,WM,215
178    ,WM,294
183    ,WM,15
229,WM,260
228,WM,172
227,WM,268
226,WM,125
225,WM,244
224,WM,78
223,WM,138
222,WM,361
221,WM,391
167    ,WM,59
126    ,WM,459
258    ,WM,202
256    ,WM,251
608    ,WM,407
158    ,WM,181
264    ,WM,302
262    ,WM,206
159    ,WM,106
176    ,WM,278
151,WM,455
150,WM,449
153,WM,365
152,WM,357
155,WM,260
157,WM,174
602,WM,514
164    ,WM,120
508    ,WM,406
238,WM,276
239,WM,377
144    ,WM,559
234,WM,337
235,WM,212
236,WM,144
237,WM,178
230,WM,154
231,WM,249
232,WM,316
233,WM,298
154    ,WM,256
146    ,WM,502
136    ,WM,291
165    ,WM,193
147,WM,377
203,WM,377
202,WM,245
142,WM,256
204,WM,150
207,WM,174
206,WM,303
119    ,WM,190
208,WM,401
148,WM,341
149,WM,303
170    ,WM,258
143    ,WM,198
402    ,WM,323
171    ,WM,341
506    ,WM,342
267    ,WM,26
266    ,WM,336
134    ,WM,432
801,WM,295
Total,WM,52217
