Row Label,County,John Lovick,Carolyn Eslick
MARYSVILLE 17,SN,152,122
WAGNER,SN,156,209
LUNDS GULCH,SN,75,35
STRAUS,SN,169,226
EVERETT  73,SN,157,118
LYNNWOOD  6,SN,172,81
EVERETT  71,SN,96,55
MENZEL,SN,136,103
EVERETT  77,SN,131,90
EVERETT  76,SN,136,114
RIDGEWAY,SN,101,95
EVERETT  74,SN,83,87
EVERETT  79,SN,151,106
EVERETT  78,SN,74,60
NILE,SN,0,0
RHODY RIDGE,SN,120,84
LARIMER,SN,154,132
ARNOT,SN,107,143
CHATHAM,SN,34,25
KINGMAN,SN,269,187
MANN,SN,125,152
FIR,SN,166,126
MARYSVILLE 44,SN,211,176
MUKILTEO 18,SN,227,186
MUKILTEO 19,SN,137,133
MARYSVILLE 41,SN,116,84
MARYSVILLE 40,SN,111,126
MARYSVILLE 43,SN,122,155
MARYSVILLE 42,SN,118,124
SILVER FIRS,SN,222,157
PORT SUSAN,SN,212,225
MUKILTEO 10,SN,134,83
MUKILTEO 11,SN,166,112
MUKILTEO 16,SN,249,166
MUKILTEO 17,SN,241,185
MUKILTEO 14,SN,231,164
MUKILTEO 15,SN,55,47
MILL CREEK 18,SN,169,111
MILL CREEK 19,SN,225,189
MILL CREEK 14,SN,8,4
MILL CREEK 15,SN,201,127
MILL CREEK 16,SN,133,86
MILL CREEK 17,SN,197,130
NORDEN,SN,116,137
MILL CREEK 11,SN,152,98
MILL CREEK 12,SN,150,138
STAFFORD,SN,104,96
MC RAE,SN,95,135
SOFIE,SN,76,99
MARYSVILLE 30,SN,153,184
MARYSVILLE 31,SN,197,248
MARYSVILLE 32,SN,108,102
MARYSVILLE 33,SN,2,2
MARYSVILLE 34,SN,119,132
MARYSVILLE 35,SN,136,155
MAY CREEK,SN,156,157
MARYSVILLE 37,SN,108,93
MARYSVILLE 38,SN,97,108
MARYSVILLE 39,SN,141,115
ROBE,SN,100,89
THREE LAKES,SN,111,154
LOOP,SN,157,140
VIEW,SN,186,155
LOST LAKE,SN,126,86
LAKE STEVENS  4,SN,157,116
LAKE STEVENS  5,SN,135,115
WAXON,SN,237,151
LAKE STEVENS  7,SN,184,179
LAKE STEVENS  1,SN,193,212
LAKE STEVENS  2,SN,147,146
LAKE STEVENS  3,SN,214,169
PRIEST POINT,SN,111,88
LAKE STEVENS  8,SN,135,162
LAKE STEVENS  9,SN,122,123
BOTHELL 45,SN,84,79
MONROE  1,SN,196,191
MONROE  3,SN,142,175
EVERETT  90,SN,51,30
STANWOOD 2,SN,133,143
SOUTH SNOHOMISH,SN,123,129
STANWOOD 5,SN,171,211
STANWOOD 4,SN,210,199
LYNNWOOD 23,SN,188,78
CAVALRY,SN,154,182
LYNNWOOD 21,SN,169,111
SULTAN RIVER,SN,137,175
STANWOOD 7,SN,85,81
LYNNWOOD 25,SN,219,130
LYNNWOOD 24,SN,156,64
WATERS,SN,154,234
MONROE  6,SN,135,130
EVERETT   4,SN,180,102
MARYSVILLE 22,SN,191,206
EVERETT  70,SN,2,2
EVERETT  75,SN,95,88
KENWOOD,SN,172,109
ELFIN,SN,94,74
KENNARD,SN,140,92
ROBINHOOD,SN,127,120
EDMONDS 14,SN,181,57
SPADA,SN,3,4
HAINES,SN,165,171
SPENCER(*),SN,0,0
HILTONS LAKE,SN,173,151
TUCKER,SN,198,120
EVERETT  39,SN,125,128
EVERETT  38,SN,44,33
BEVERLY,SN,180,98
EVERETT  36,SN,143,94
KNOX,SN,13,5
MARINER,SN,146,89
EVERETT  33,SN,219,154
EVERETT  32,SN,159,125
EVERETT  31,SN,117,83
EVERETT  30,SN,192,143
EDMONDS 39,SN,241,181
EVERETT  41,SN,128,100
EDMONDS 33,SN,181,103
EDMONDS 32,SN,196,116
EDMONDS 31,SN,216,127
EDMONDS 30,SN,176,89
EDMONDS 37,SN,194,113
EDMONDS 36,SN,212,109
PACIFIC,SN,46,28
EDMONDS 34,SN,225,118
TRONSON,SN,103,104
LAKE STEVENS 28,SN,156,127
LAKE STEVENS 26,SN,86,72
LAKE STEVENS 27,SN,92,61
LAKE STEVENS 24,SN,129,97
LAKE STEVENS 25,SN,45,48
LAKE STEVENS 22,SN,142,102
LAKE STEVENS 23,SN,92,126
LAKE STEVENS 20,SN,143,146
LAKE STEVENS 21,SN,201,171
ARLINGTON 18,SN,0,0
ARLINGTON 16,SN,86,127
ARLINGTON 15,SN,58,52
ARLINGTON 14,SN,108,125
VINE,SN,170,98
ARLINGTON 12,SN,87,138
ARLINGTON 11,SN,77,83
ARLINGTON 10,SN,165,218
PELLERIN,SN,155,125
KOKANEE,SN,101,80
TIMBER,SN,0,0
EVERGREEN,SN,115,77
PIPELINE,SN,119,182
CREEK,SN,179,171
EVERETT  69,SN,181,89
LYNNWOOD  7,SN,214,131
WALNUT,SN,121,88
STANWOOD 1,SN,87,68
STANWOOD 3,SN,117,121
MONROE  2,SN,160,166
MONROE  5,SN,192,200
PINEWOOD,SN,180,110
MONROE  7,SN,125,177
STANWOOD 6,SN,89,123
MONROE  9,SN,164,179
MONROE  8,SN,87,121
CLOVER,SN,137,98
COHO,SN,82,38
OWEN,SN,125,150
MARYSVILLE 47,SN,158,131
FERN,SN,36,78
LYNNWOOD  5,SN,108,54
LYNNWOOD  4,SN,138,80
MUKILTEO 21,SN,119,80
MUKILTEO 20,SN,225,162
LYNNWOOD  1,SN,99,47
LYNNWOOD  3,SN,160,101
POND,SN,158,123
ATLAS,SN,233,139
LYNNWOOD  9,SN,228,101
LYNNWOOD  8,SN,134,77
BRIER 8,SN,145,98
MILL CREEK 21,SN,111,57
MILL CREEK 20,SN,160,101
MILL CREEK 22,SN,121,82
BRIER 3,SN,298,168
BRIER 2,SN,158,102
BRIER 1,SN,215,106
OVERLOOK,SN,217,165
BRIER 7,SN,151,115
