Row Label,County,Jim Ruud
PRECINCT 107,DG,147
PRECINCT 106,DG,148
PRECINCT 105,DG,110
PRECINCT 104,DG,407
PRECINCT 103,DG,72
PRECINCT 102,DG,325
PRECINCT 101,DG,178
PRECINCT 109,DG,121
PRECINCT 108,DG,159
PRECINCT 305,DG,134
PRECINCT 304,DG,50
PRECINCT 307,DG,41
PRECINCT 306,DG,139
PRECINCT 208,DG,138
PRECINCT 209,DG,261
PRECINCT 303,DG,168
PRECINCT 302,DG,282
PRECINCT 204,DG,256
PRECINCT 205,DG,356
PRECINCT 206,DG,144
PRECINCT 207,DG,293
PRECINCT 309,DG,73
PRECINCT 201,DG,188
PRECINCT 202,DG,80
PRECINCT 203,DG,228
PRECINCT 311,DG,125
PRECINCT 310,DG,98
PRECINCT 316,DG,233
PRECINCT 308,DG,49
PRECINCT 314,DG,42
PRECINCT 315,DG,280
PRECINCT 114,DG,147
PRECINCT 110,DG,215
PRECINCT 111,DG,295
PRECINCT 112,DG,165
PRECINCT 113,DG,163
PRECINCT 318,DG,84
PRECINCT 312,DG,156
PRECINCT 313,DG,54
PRECINCT 215,DG,218
PRECINCT 214,DG,62
PRECINCT 213,DG,158
PRECINCT 212,DG,171
PRECINCT 211,DG,73
PRECINCT 210,DG,86
PRECINCT 317,DG,367
PRECINCT 301,DG,329
Total,DG,8068
