Row Label,County,Gabriel Spencer
NORTH BONNEVILLE,SM,251
STABLER,SM,212
UNDERWOOD SOUTH,SM,141
WIND RIVER,SM,159
CAPE HORN,SM,149
SKAMANIA,SM,174
ROCK CREEK,SM,117
CARSON CREEK,SM,176
SOUTH STEVENSON,SM,43
SKYE,SM,128
HOT SPRINGS SOUTH,SM,126
NORTH STEVENSON,SM,152
CHENOWITH,SM,116
MT. PLEASANT,SM,116
BEAR PRAIRIE,SM,108
CASCADES,SM,8
NELSON CREEK,SM,85
HOT SPRINGS NORTH,SM,73
LEWIS RIVER,SM,14
UNDERWOOD NORTH,SM,164
UPPER WASHOUGAL,SM,124
WIND MOUNTAIN,SM,78
MAPLE VIEW,SM,206
Total,SM,2920
