Row Label,County,Rocky Miller
ALTO,CU,56
TOUCHET,CU,147
STARBUCK COUNTRY,CU,19
STAR,CU,92
MUSTARD,CU,155
DAYTON,CU,196
PING,CU,166
BROOKLYN,CU,161
TUCANNON,CU,55
STARBUCK CITY,CU,54
COLUMBIA,CU,233
RAINWATER,CU,122
Total,CU,1600
PATIT,CU,144
