Row Label,County,Rob Lawrence-Berrey
210,CH,192
1149,CH,27
133,CH,189
132,CH,21
131,CH,30
136,CH,4
135,CH,301
134,CH,290
490,CH,500
540,CH,279
163,CH,16
1151,CH,2
1150,CH,6
710,CH,214
120,CH,147
121,CH,144
122,CH,80
123,CH,21
124,CH,34
125,CH,306
126,CH,41
127,CH,66
128,CH,29
129,CH,112
410,CH,237
530,CH,372
590,CH,298
310,CH,123
190,CH,19
115,CH,17
114,CH,206
116,CH,76
111,CH,52
110,CH,157
113,CH,37
112,CH,16
520,CH,474
420,CH,284
580,CH,220
440,CH,403
100,CH,6
510,CH,192
430,CH,339
450,CH,345
330,CH,208
175,CH,359
174,CH,207
173,CH,10
172,CH,10
171,CH,8
730,CH,346
182,CH,230
183,CH,123
181,CH,267
560,CH,333
460,CH,326
164,CH,103
165,CH,73
161,CH,21
162,CH,20
220,CH,233
720,CH,286
151,CH,3
150,CH,26
153,CH,425
152,CH,3
155,CH,128
154,CH,349
157,CH,293
156,CH,34
159,CH,5
158,CH,143
320,CH,177
146,CH,55
147,CH,285
144,CH,15
145,CH,17
142,CH,27
143,CH,3
140,CH,101
141,CH,6
610,CH,219
148,CH,131
149,CH,147
480,CH,340
Total,CH,13019
