Row Label,County,Tammie A. Ownbey
Usk,PE,142
Diamond Lk East,PE,92
Sacheen,PE,181
Diamond Lk,PE,302
Diamond Lk West,PE,134
Noble,PE,258
Furport,PE,206
Deer Valley South,PE,64
Cusick,PE,89
Ione East,PE,122
Kalispel Leclerc,PE,127
Tiger Dry Canyon,PE,225
Ruby,PE,22
Ione West,PE,157
Newport NE,PE,211
Metaline,PE,71
Newport SE,PE,94
Skookum,PE,51
Newport NW,PE,199
Newport SW,PE,157
Dalkena,PE,224
Deer Valley North,PE,177
Locke,PE,32
Fertile Valley South,PE,127
Fertile Valley North,PE,137
Camden,PE,118
Total,PE,3857
Metaline Falls,PE,138
