Row Label,County,Susan Fagan
Pct 089,FR,109
Pct 087,FR,58
Pct 070,FR,51
Pct 099,FR,27
Pct 074,FR,197
Pct 095,FR,57
Pct 046,FR,228
Pct 047,FR,25
Pct 022,FR,147
Pct 023,FR,262
Pct 042,FR,130
Pct 043,FR,136
Pct 040,FR,164
Pct 041,FR,101
Pct 002,FR,4
Pct 098,FR,19
Pct 048,FR,183
Pct 049,FR,200
Pct 082,FR,93
Pct 083,FR,75
Pct 080,FR,240
Pct 081,FR,67
Pct 068,FR,11
Pct 069,FR,30
Pct 084,FR,37
Pct 085,FR,38
Pct 064,FR,161
Pct 065,FR,86
Pct 066,FR,229
Pct 067,FR,157
Pct 060,FR,78
Pct 061,FR,31
Pct 062,FR,274
Pct 063,FR,167
Pct 090,FR,134
Pct 094,FR,0
Pct 093,FR,135
Pct 092,FR,120
Pct 044,FR,154
Pct 077,FR,51
Pct 045,FR,211
Pct 086,FR,67
Pct 100,FR,83
Pct 076,FR,77
Pct 088,FR,33
Pct 101,FR,100
Pct 075,FR,40
Pct 033,FR,135
Pct 032,FR,330
Pct 052,FR,52
Pct 037,FR,245
Pct 035,FR,91
Pct 034,FR,189
Pct 073,FR,213
Pct 039,FR,186
Pct 038,FR,163
Pct 072,FR,114
Pct 059,FR,237
Pct 058,FR,19
Pct 097,FR,40
Pct 096,FR,70
Pct 091,FR,11
Pct 071,FR,141
Pct 079,FR,104
Pct 078,FR,70
Pct 051,FR,195
Pct 050,FR,202
Pct 053,FR,154
Total,FR,8673
Pct 055,FR,261
Pct 054,FR,84
Pct 057,FR,152
Pct 056,FR,138
