Row Label,County,Jeanne Kohl-Welles,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Sarina Forbes
SEA 36-1288,KI,227,391,9,265,0,0,29
SEA 36-1287,KI,400,733,27,481,0,1,53
SEA 36-1286,KI,214,439,15,254,0,0,25
SEA 36-2526,KI,228,444,18,301,0,2,53
SEA 36-1676,KI,109,261,11,167,0,0,47
SEA 36-1677,KI,132,336,27,219,0,0,60
SEA 36-3153,KI,151,390,14,187,0,0,22
SEA 36-1675,KI,129,309,7,209,0,0,73
SEA 36-1672,KI,112,252,18,164,0,0,34
SEA 36-1673,KI,375,806,44,530,0,1,110
SEA 36-1670,KI,235,492,24,331,0,0,72
SEA 36-3252,KI,148,477,16,211,0,0,47
SEA 36-1775,KI,236,711,29,327,0,0,62
SEA 36-1774,KI,245,494,26,347,0,0,76
SEA 36-1773,KI,220,644,21,285,0,0,44
SEA 36-1772,KI,202,534,23,284,0,1,58
SEA 36-1771,KI,181,487,16,248,0,0,51
SEA 36-1679,KI,185,413,25,272,0,0,62
SEA 36-2147,KI,284,489,24,338,0,0,30
SEA 36-2146,KI,157,338,20,199,0,1,21
SEA 36-2149,KI,213,367,15,261,0,1,32
SEA 36-2148,KI,191,359,20,229,0,0,18
SEA 36-1698,KI,127,278,9,167,0,0,31
SEA 36-1699,KI,121,295,12,160,0,1,26
SEA 36-2528,KI,272,576,28,400,0,2,98
SEA 36-1690,KI,127,342,13,178,0,1,37
SEA 36-1691,KI,121,274,9,156,0,0,26
SEA 36-1692,KI,177,363,18,256,0,1,60
SEA 36-1693,KI,139,308,9,189,0,0,41
SEA 36-1695,KI,216,475,31,320,0,1,72
SEA 36-1696,KI,184,433,19,286,0,2,81
SEA 36-1697,KI,139,312,15,186,0,0,32
SEA 36-1298,KI,211,337,10,246,0,0,25
SEA 36-1299,KI,223,425,11,260,0,0,26
SEA 36-2795,KI,161,479,19,209,0,0,29
SEA 36-1294,KI,383,735,28,449,0,2,36
SEA 36-1295,KI,189,337,14,219,0,1,15
SEA 36-1296,KI,176,303,8,194,0,0,10
SEA 36-1297,KI,153,298,10,183,0,1,19
SEA 36-1292,KI,177,356,20,220,0,0,23
SEA 36-2523,KI,232,496,30,333,0,0,71
SEA 36-2522,KI,163,356,18,230,0,1,48
SEA 36-2511,KI,221,430,27,311,1,1,61
SEA 36-1768,KI,164,331,13,201,0,0,24
SEA 36-1769,KI,117,234,10,151,0,0,24
SEA 36-2524,KI,122,216,15,152,0,0,15
SEA 36-1764,KI,166,264,7,185,0,0,12
SEA 36-1765,KI,152,274,6,178,0,0,20
SEA 36-1766,KI,179,401,15,216,0,0,22
SEA 36-1767,KI,181,551,19,242,0,0,42
SEA 36-1760,KI,153,300,8,195,0,0,34
SEA 36-1761,KI,147,309,20,193,0,0,26
SEA 36-1762,KI,161,306,13,207,0,0,33
SEA 36-1763,KI,167,312,10,196,0,0,19
SEA 36-2162,KI,218,373,20,259,0,1,20
SEA 36-3267,KI,167,548,17,219,0,0,35
SEA 36-2502,KI,254,378,13,284,0,0,17
SEA 36-2508,KI,226,427,15,293,0,0,52
SEA 36-2533,KI,216,431,19,267,0,0,32
SEA 36-1751,KI,188,368,12,212,0,0,12
SEA 36-1750,KI,245,493,20,296,0,0,31
SEA 36-2532,KI,192,416,25,273,0,1,55
SEA 36-1752,KI,199,437,13,244,0,2,30
SEA 36-1755,KI,134,272,13,158,0,0,11
SEA 36-1754,KI,183,387,21,252,0,2,46
SEA 36-1757,KI,128,262,11,166,0,1,26
SEA 36-1756,KI,306,682,18,393,0,0,69
SEA 36-1759,KI,135,274,11,169,0,2,21
SEA 36-1758,KI,192,351,21,246,0,0,33
SEA 36-2125,KI,283,620,23,357,0,0,51
SEA 36-2121,KI,170,443,16,216,0,2,28
SEA 36-2120,KI,239,413,15,273,0,0,19
SEA 36-3689,KI,135,398,16,166,0,0,15
SEA 36-2592,KI,169,352,15,205,0,1,20
SEA 36-3686,KI,171,501,20,254,0,1,62
SEA 36-2593,KI,142,289,12,174,0,0,20
SEA 36-2535,KI,222,566,27,291,0,0,42
SEA 36-1770,KI,135,234,5,159,0,0,19
SEA 36-1746,KI,167,313,7,203,0,0,29
SEA 36-1747,KI,157,296,14,195,0,0,24
SEA 36-1744,KI,197,393,13,228,0,0,18
SEA 36-2506,KI,179,311,9,202,0,0,14
SEA 36-1742,KI,141,296,14,185,0,0,30
SEA 36-1743,KI,161,391,16,206,0,0,29
SEA 36-1740,KI,169,323,11,208,0,1,27
SEA 36-1732,KI,211,449,20,278,0,1,46
SEA 36-2134,KI,209,490,22,266,0,0,35
SEA 36-2130,KI,205,388,13,243,0,1,24
SEA 36-1731,KI,178,404,17,230,0,0,35
SEA 36-1748,KI,143,261,10,169,0,0,16
SEA 36-1749,KI,305,681,20,370,0,0,45
SEA 36-2590,KI,173,364,12,213,0,2,26
SEA 36-2749,KI,102,336,6,130,0,0,22
SEA 36-2536,KI,242,567,30,329,0,0,57
SEA 36-2743,KI,232,501,20,332,0,0,80
SEA 36-1737,KI,144,416,16,193,0,0,33
SEA 36-1736,KI,167,341,16,209,0,1,25
SEA 36-2505,KI,176,324,10,228,0,2,40
SEA 36-1735,KI,128,252,12,160,0,0,20
SEA 36-2504,KI,183,303,9,213,0,0,21
SEA 36-1805,KI,181,473,18,239,0,0,40
SEA 36-1323,KI,212,401,13,243,0,0,18
SEA 36-1801,KI,303,896,24,391,0,1,63
SEA 36-2507,KI,144,283,11,180,0,0,25
SEA 36-1803,KI,132,298,15,178,0,0,31
SEA 36-3586,KI,351,801,17,407,0,0,39
SEA 36-3587,KI,197,590,22,273,0,0,54
SEA 36-2518,KI,189,425,19,246,0,0,38
SEA 36-1709,KI,118,359,12,154,0,0,24
SEA 36-3669,KI,119,349,10,157,0,2,26
SEA 36-1734,KI,225,497,26,286,0,1,34
SEA 36-2512,KI,271,505,17,331,0,2,41
SEA 36-2513,KI,241,434,27,301,0,1,32
