Row Label,County,Jeff Baker,Dave Brown
BINGEN,KT,74,47
WHITE SALMON,KT,323,70
N DALLES,KT,200,117
E LYLE,KT,91,31
HGH PRAIRIE,KT,38,22
LYLE,KT,233,118
F VALLEY(*),KT,0,0
HUSUM,KT,267,60
CENTERVILLE(*),KT,0,0
N WHITE SALMON,KT,189,61
TROUT LAKE,KT,340,26
MT BROOK,KT,208,60
Total,KT,2673,792
GLENWOOD,KT,80,8
APPLETON,KT,62,24
N F VALLEY,KT,300,85
