Row Label,County,Shelly Johnston
HARRINGTON IN,LI,113
LONG LAKE,LI,44
S REARDAN RURAL,LI,48
DAVENPORT RURAL,LI,72
IRBY,LI,19
KELLER,LI,59
LAMONA,LI,21
HAWK CREEK,LI,60
EDWALL,LI,55
MOHLER,LI,45
EGYPT,LI,96
WEST LARENE,LI,34
SPRAGUE RURAL,LI,85
WHEATLAND,LI,65
EAST LARENE,LI,73
GRAVELLE,LI,38
GRAND COULEE,LI,31
REARDAN IN,LI,184
PEACH,LI,110
ALMIRA RURAL,LI,27
N REARDAN RURAL,LI,40
HARR RURAL,LI,41
GOVAN,LI,18
LAKEVIEW,LI,89
ODESSA IN,LI,276
SPRAGUE IN,LI,106
RIVERVIEW,LI,122
ENOS,LI,11
LAYTON,LI,15
CANBY,LI,34
EARL,LI,30
WILBUR RURAL,LI,73
WAUKON,LI,39
WILBUR IN,LI,292
DOWNS,LI,19
SHERMAN,LI,52
MONDOVI,LI,72
ALMIRA IN,LI,86
SPRING CREEK,LI,68
SEVEN BAYS,LI,50
CRESTON RURAL,LI,47
CRESTON IN,LI,77
ODESSA RURAL,LI,67
WILSON CREEK,LI,29
Total,LI,3505
DAVENPORT IN,LI,461
BLUESTEM,LI,12
