Row Label,County,Denis P. Tracy
ENDICOTT 147,WT,85
LACROSSE IN,WT,96
GARFIELD IN,WT,156
PULLMAN CITY 114,WT,18
PULLMAN 235,WT,273
FARMINGTON 103,WT,28
LAMONT IN,WT,20
PULLMAN 234,WT,55
COLFAX CITY 139,WT,205
PULLMAN CITY 127,WT,24
MALDEN IN,WT,38
PULLMAN CITY 125,WT,15
PULLMAN CITY 124,WT,22
PULLMAN CITY 123,WT,166
PULLMAN CITY 122,WT,85
PULLMAN CITY 121,WT,113
PULLMAN CITY 120,WT,429
UNIONTOWN 109,WT,60
TEKOA 101,WT,51
PULLMAN CITY 129,WT,45
PULLMAN CITY 128,WT,44
COLFAX RURAL 137,WT,208
DUSTY 143,WT,43
ALBION 112,WT,101
COLFAX CITY 142,WT,280
PULLMAN CITY 126,WT,15
COLTON 108,WT,89
COLFAX CITY 141,WT,160
WILCOX 138,WT,120
HAY 144,WT,24
PULLMAN 228,WT,16
ALBION IN,WT,123
COLFAX RURAL 136,WT,128
COLTON IN,WT,161
ROSALIA IN,WT,169
TEKOA IN,WT,181
MALDEN 150,WT,7
HOOPER 145,WT,18
OAKESDALE IN,WT,155
ST JOHN IN,WT,171
LAMONT 148,WT,36
ROSALIA 151,WT,67
ST JOHN 149,WT,167
PULLMAN CITY 135,WT,150
ENDICOTT IN,WT,93
COLFAX CITY 140,WT,188
PULLMAN 218,WT,248
PULLMAN CITY 134,WT,16
OAKESDALE 102,WT,81
PULLMAN CITY 118,WT,222
PULLMAN CITY 119,WT,158
PULLMAN CITY 130,WT,50
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,309
PULLMAN RURAL 111,WT,91
THORNTON 152,WT,45
LACROSSE 146,WT,68
PULLMAN CITY 116,WT,328
PULLMAN CITY 117,WT,118
PALOUSE 107,WT,241
PULLMAN CITY 115,WT,7
PALOUSE RURAL 106,WT,148
UNIONTOWN IN,WT,79
STEPTOE 104,WT,93
FARMINGTON IN,WT,54
PULLMAN CITY 113,WT,111
GARFIELD 105,WT,75
Total,WT,7444
