Row Label,County,Pete Martin
ENDICOTT 147,WT,96
LACROSSE IN,WT,110
GARFIELD IN,WT,173
PULLMAN CITY 114,WT,16
PULLMAN 235,WT,268
FARMINGTON 103,WT,28
LAMONT IN,WT,20
PULLMAN 234,WT,58
COLFAX CITY 139,WT,212
PULLMAN CITY 127,WT,23
MALDEN IN,WT,44
PULLMAN CITY 125,WT,15
PULLMAN CITY 124,WT,20
PULLMAN CITY 123,WT,168
PULLMAN CITY 122,WT,85
PULLMAN CITY 121,WT,112
PULLMAN CITY 120,WT,425
UNIONTOWN 109,WT,59
TEKOA 101,WT,52
PULLMAN CITY 129,WT,46
PULLMAN CITY 128,WT,45
COLFAX RURAL 137,WT,226
DUSTY 143,WT,42
ALBION 112,WT,94
COLFAX CITY 142,WT,293
PULLMAN CITY 126,WT,15
COLTON 108,WT,87
COLFAX CITY 141,WT,164
WILCOX 138,WT,122
HAY 144,WT,25
PULLMAN 228,WT,18
ALBION IN,WT,122
COLFAX RURAL 136,WT,131
COLTON IN,WT,166
ROSALIA IN,WT,186
TEKOA IN,WT,199
MALDEN 150,WT,8
HOOPER 145,WT,18
OAKESDALE IN,WT,157
ST JOHN IN,WT,187
LAMONT 148,WT,41
ROSALIA 151,WT,70
ST JOHN 149,WT,190
PULLMAN CITY 135,WT,150
ENDICOTT IN,WT,110
COLFAX CITY 140,WT,200
PULLMAN 218,WT,245
PULLMAN CITY 134,WT,17
OAKESDALE 102,WT,86
PULLMAN CITY 118,WT,220
PULLMAN CITY 119,WT,154
PULLMAN CITY 130,WT,46
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,312
PULLMAN RURAL 111,WT,90
THORNTON 152,WT,49
LACROSSE 146,WT,73
PULLMAN CITY 116,WT,316
PULLMAN CITY 117,WT,123
PALOUSE 107,WT,243
PULLMAN CITY 115,WT,7
PALOUSE RURAL 106,WT,149
UNIONTOWN IN,WT,78
STEPTOE 104,WT,94
FARMINGTON IN,WT,61
PULLMAN CITY 113,WT,105
GARFIELD 105,WT,78
Total,WT,7646
