Row Label,County,Repealed,Maintained
BELFAIR,MA,225,218
MILL CREEK,MA,269,381
HARSTINE,MA,249,459
DAYTON,MA,212,205
DOWNTOWN,MA,207,198
AIRPORT,MA,309,361
MATLOCK,MA,242,246
AGATE,MA,245,260
JOHN&#39;S PRAIRIE,MA,200,203
OLYMPIC VIEW,MA,284,287
ISABELLA,MA,166,154
CUSHMAN,MA,318,290
MASON LAKE,MA,203,243
SAND HILL,MA,284,270
KAMILCHE POINT,MA,111,170
HILLCREST,MA,168,178
EELLS,MA,81,116
BORDEAUX,MA,39,39
ANGLESIDE,MA,244,267
ARCADIA,MA,247,374
HOOD CANAL,MA,271,345
UNION,MA,350,466
LIMERICK,MA,350,366
FAWN LAKE,MA,273,317
TIGER LAKE,MA,155,143
PICKERING,MA,238,254
CALLANAN,MA,9,12
KAMILCHE,MA,111,117
VICTOR,MA,192,197
TWANOH,MA,146,186
OAKLAND BAY,MA,207,225
TAHUYA,MA,268,255
ALLYN,MA,446,463
DEWATTO,MA,331,262
TIMBERLAKE,MA,315,304
GRAPEVIEW,MA,307,329
FAIR HARBOR,MA,209,181
TRAIL&#39;S END,MA,299,279
SKOKOMISH,MA,69,41
Total,MA,8849,9661
