Row Label,County,Yes,No
DAMMAN,KS,214,137
VANTAGE,KS,17,8
PARK,KS,236,123
TEANAWAY,KS,218,106
ELLENSBURG 20,KS,42,52
CLE ELUM 4,KS,165,92
ELLENSBURG 22,KS,101,88
ELLENSBURG 23,KS,110,114
CLE ELUM 1,KS,118,72
ELLENSBURG 25,KS,185,191
CLE ELUM 3,KS,39,31
CLE ELUM 2,KS,63,52
SOUTH CLE ELUM,KS,107,76
FAIRVIEW,KS,136,87
RONALD,KS,101,54
NORTHEAST FAIRVIEW,KS,209,149
ELLENSBURG 24,KS,179,222
ELLENSBURG 9,KS,38,59
ELLENSBURG 8,KS,50,42
RIDGEWAY,KS,280,255
ELLENSBURG 1,KS,21,30
ELLENSBURG 2,KS,22,63
ELLENSBURG 5,KS,37,59
ELLENSBURG 4,KS,11,45
ELLENSBURG 7,KS,23,33
ELLENSBURG 6,KS,25,41
EAST SANDERS,KS,224,139
THRALL,KS,173,157
ELLENSBURG 21,KS,60,74
MOUNTAIN,KS,82,69
HYAK,KS,63,41
ROSLYN 1,KS,85,101
ROSLYN 2,KS,70,86
KITTITAS 1,KS,91,49
KACHESS,KS,68,40
MANASTASH,KS,169,132
DENMARK,KS,287,210
ROSLYN OUTLYING,KS,28,27
SOUTH ELLENSBURG,KS,202,253
DRY CREEK,KS,269,145
NORTH CENTRAL,KS,156,136
ELLENSBURG 11,KS,58,84
ELLENSBURG 10,KS,68,90
ELLENSBURG 13,KS,33,76
ELLENSBURG 12,KS,40,108
ELLENSBURG 15,KS,79,95
ELLENSBURG 14,KS,53,93
ELLENSBURG 17,KS,92,135
ELLENSBURG 16,KS,93,162
ELLENSBURG 19,KS,139,185
ELLENSBURG 18,KS,18,19
WESTSIDE,KS,242,189
EASTON,KS,241,115
PEOH POINT,KS,229,108
SANDERS,KS,92,62
KITTITAS 2,KS,92,64
NORTH ELLENSBURG,KS,253,204
THORP,KS,195,128
SWAUK,KS,144,73
Total,KS,6935,5930
