Row Label,County,Ed Orcutt,John Morgan
Plumb,TH,207,104
Clear Lake,TH,263,163
Spurgeon Creek,TH,99,39
Bucoda,TH,64,59
Rich,TH,170,66
Rocky Prairie,TH,119,94
Gibson Valley,TH,40,15
Scatter Creek,TH,133,89
Mcintosh,TH,318,179
Lawrence Lake,TH,234,127
Michigan Hill,TH,128,54
Rochester 5,TH,194,123
Rochester 2,TH,171,108
Rochester 3,TH,161,127
Rochester 1,TH,216,138
James,TH,169,96
Grand Mound,TH,85,58
Tenino 01,TH,103,61
Tenino 02,TH,119,67
Military,TH,76,54
Bald Hills,TH,42,34
Skookumchuck,TH,196,112
Vail,TH,195,124
Stedman,TH,145,65
Zenkner Valley,TH,50,29
Total,TH,3844,2282
Rochester 4,TH,147,97
