Row Label,County,Dean Takko,David A. Steenson
Crego,LE,315,348
Curtis,LE,51,74
Evaline West,LE,86,94
Stillwater West,LE,101,69
Emery,LE,85,95
Mauermann,LE,45,32
Veness,LE,151,172
Boistfort,LE,47,63
Total,LE,963,1043
Urquhart,LE,82,96
