Row Label,County,Mary Yu
Yelm 1,TH,193
Griffin,TH,197
Kaiser,TH,111
Smith Prairie,TH,262
Olympia 01,TH,201
Lacey 29,TH,250
Scott Lake South,TH,179
Tri Lakes,TH,126
Woodland,TH,197
Plumb,TH,239
Montgomery,TH,120
Olympia 10,TH,242
Summerset,TH,349
Olympia 12,TH,126
Olympia 13,TH,221
Pleasant Hill,TH,238
Olympia 15,TH,166
Smith Lake,TH,233
Olympia 17,TH,159
Olympia 18,TH,199
Rocky Prairie,TH,142
Tumwater 05,TH,150
Scatter Creek,TH,165
Lacey 06,TH,86
Henderson,TH,308
Mullen,TH,260
Marvin,TH,267
Rochester 4,TH,160
Rochester 5,TH,224
Rochester 2,TH,198
Rochester 3,TH,215
French,TH,248
Rochester 1,TH,274
Tumwater 11,TH,301
Evergreen Ballroom,TH,285
Littlerock,TH,338
Lacey 10,TH,273
Skookumchuck,TH,218
Delphi,TH,217
Tolmie,TH,88
St Clair,TH,218
Olympia 58,TH,215
Tenino 01,TH,136
James,TH,183
Tumwater 10,TH,284
Lacey 14,TH,77
Olympia 07,TH,133
Olympia 06,TH,345
Olympia 05,TH,203
Olympia 04,TH,213
Olympia 03,TH,224
Olympia 02,TH,215
Plainview,TH,345
Lacey 27,TH,188
Delridge,TH,63
Military,TH,86
Lacey 16,TH,206
Lacey 39,TH,349
Olympia 09,TH,376
Sweet Briar,TH,308
Rainier 01,TH,158
Puget,TH,273
Olympia 11,TH,192
Vail,TH,265
Stedman,TH,134
Tumwater 13,TH,88
Zenkner Valley,TH,55
Trailblazer,TH,86
Libby,TH,191
Lackamas,TH,89
Broadway,TH,299
Johnson Point,TH,273
Sleater Kinney,TH,203
Medicine Creek,TH,112
Lacey 42,TH,73
Olympia 16,TH,45
Tumwater 12,TH,210
Prine,TH,42
Long Lake,TH,58
Lacey 33,TH,110
Olympia 53,TH,201
Lacey 31,TH,171
Lacey 30,TH,300
Greenridge,TH,150
Lacey 36,TH,133
Rich,TH,162
Olympia 19,TH,183
Butler Cove,TH,217
Lacey 34,TH,129
Mud Bay,TH,215
Olympia 14,TH,206
Mclane,TH,164
Tumwater 15,TH,253
Lawrence Lake,TH,276
Lacey 45,TH,109
Olympia 38,TH,60
Tilley,TH,260
Yelm 3,TH,253
Hunter Point,TH,139
Skokomish,TH,176
Schneiders Prairie,TH,176
Grand Mound,TH,103
Alpine,TH,369
Hays,TH,172
Luhr Beach,TH,251
Berry Valley,TH,184
Freedom,TH,286
Morris,TH,235
Lacey 07,TH,169
Lacey 04,TH,102
Lacey 05,TH,132
Lacey 02,TH,148
Lacey 03,TH,179
Deschutes,TH,241
Olympia 50,TH,170
Tumwater 28,TH,290
Tumwater 29,TH,0
Friendly Grove,TH,120
Olympia 51,TH,44
Fair Oaks,TH,154
Woodard Creek,TH,191
Pines,TH,176
Scott Lake North,TH,96
Mushroom Corner,TH,236
Tumwater 14,TH,105
Yelm 2,TH,219
Deerbrush,TH,257
Henness,TH,324
Lacey 09,TH,115
Kinwood,TH,197
Rainier 02,TH,123
Summit Lake,TH,180
Lacey 19,TH,140
Lacey 18,TH,232
Simmons 9,TH,5
Lacey 11,TH,213
Simmons 4,TH,11
Lacey 13,TH,109
Lacey 01,TH,89
Lacey 15,TH,193
Gull Harbor,TH,155
Simmons 3,TH,9
Simmons 2,TH,4
Spurgeon Creek,TH,101
Black River,TH,317
Forest,TH,319
Olympia 24,TH,205
Quince,TH,4
Meadows,TH,176
Pattison,TH,230
Olympia 54,TH,144
Olympia 55,TH,118
Olympia 56,TH,200
Olympia 57,TH,105
Tykle Cove,TH,213
Mcallister Creek,TH,197
Olympia 52,TH,118
Mcintosh,TH,369
Tenino 02,TH,142
Olympia 39,TH,209
Steamboat Island,TH,191
Olympia 20,TH,115
Lacey 08,TH,127
Lacey 41,TH,195
Delta,TH,0
Ames,TH,197
Jones Beach,TH,127
Pleasant Glade,TH,143
Lacey 35,TH,76
Evergreen Shores,TH,186
Hewitt Lake,TH,285
Tumwater 08,TH,253
Olympia 60,TH,138
Tumwater 06,TH,364
Tumwater 07,TH,172
Tumwater 04,TH,145
Beach Crest,TH,182
Tumwater 02,TH,215
Tumwater 03,TH,247
Roosevelt,TH,263
Tumwater 01,TH,158
University North,TH,91
Olympia 49,TH,227
Olympia 48,TH,259
Bush Prairie,TH,55
Olympia 43,TH,236
Olympia 42,TH,138
Olympia 41,TH,201
Olympia 40,TH,175
Olympia 47,TH,252
Olympia 46,TH,209
Olympia 45,TH,134
Olympia 44,TH,113
Holmes,TH,197
Cooper Point,TH,215
Ruth Prairie,TH,106
Hawks Ridge,TH,104
Weir Prairie,TH,213
Wilderness,TH,304
Lacey 32,TH,223
Camelot,TH,146
University South,TH,127
Lacey 24,TH,285
Gallagher Cove,TH,335
Lacey 17,TH,203
Total,TH,52922
College,TH,37
Bigelow,TH,204
Lacey 37,TH,68
Olympia 08,TH,202
Beaver Creek,TH,394
Oyster Bay,TH,244
Eaton Creek,TH,136
Lacey 28,TH,122
Olympia 25,TH,159
Four Corners,TH,322
South Bay,TH,269
Indian Summer,TH,265
Longmire,TH,152
Tumwater 24,TH,152
Olympia 59,TH,193
Clear Lake,TH,356
Airport,TH,19
Thompson,TH,157
Bucoda,TH,98
Glen Terra,TH,72
Frye Cove,TH,252
Cougar Mountain,TH,52
Mckinley,TH,78
Olympia 37,TH,139
Gibson Valley,TH,28
Olympia 35,TH,399
Black Lake,TH,292
Scheller,TH,98
Olympia 30,TH,190
Olympia 31,TH,169
Sunwood Lakes,TH,342
Lydia Hawk,TH,382
Lacey 23,TH,90
Olympia 32,TH,276
Michigan Hill,TH,107
Tumwater 09,TH,143
Yelm 4,TH,234
Lacey 48,TH,147
Zangle,TH,200
Fish Trap,TH,172
East Olympia,TH,217
Munn Lake,TH,131
Sunset Beach,TH,271
Olympia 27,TH,103
Lacey 43,TH,262
Lacey 40,TH,265
Fristoe,TH,158
Lacey 46,TH,471
Lacey 47,TH,365
Lacey 44,TH,98
Hicks,TH,37
Salmon Creek,TH,138
Lacey 49,TH,125
Wards,TH,104
South Union,TH,281
Boston Harbor,TH,282
Olympia 29,TH,231
Olympia 28,TH,224
Trails End,TH,396
Hartwood,TH,382
Waddell Creek,TH,181
Fleetwood,TH,299
Olympia 26,TH,181
Olympia 21,TH,311
Bald Hills,TH,62
Olympia 23,TH,249
Violet Prairie,TH,252
Lacey 20,TH,84
Hawk Acres,TH,135
Tumwater 27,TH,231
Lacey 21,TH,107
Lakeside,TH,118
Lacey 22,TH,142
Olympia 36,TH,86
Glenwood,TH,83
Chambers,TH,359
Nisqually,TH,187
