Row Label,County,Elizabeth Scott,Charles Jensen
WAGNER,SN,226,132
ROOSEVELT,SN,103,67
TROMBLEY,SN,177,125
OUTLOOK,SN,169,120
MENZEL,SN,137,105
EDGECOMB,SN,174,94
NORDEN,SN,155,94
GOLD BAR 1,SN,132,117
IVERSON,SN,122,80
GETCHELL,SN,167,98
ARNOT,SN,163,85
MANN,SN,152,123
MARYSVILLE 45,SN,271,103
MARYSVILLE 44,SN,221,164
PARK PLACE,SN,93,45
STAR CREEK,SN,115,73
PIPELINE,SN,195,99
JIM CREEK,SN,265,135
SISCO,SN,227,123
TRANGEN,SN,169,109
OLNEY,SN,195,135
FIRTREE,SN,160,83
ALMA,SN,23,13
LAKE,SN,236,145
SOFIE,SN,93,81
ARLINGTON 14(*),SN,0,0
MAY CREEK,SN,181,132
ROBE,SN,95,87
THREE LAKES,SN,174,88
LOOP,SN,156,139
INDEX,SN,21,45
MARYSVILLE 54,SN,212,110
MARYSVILLE 52,SN,236,120
MARYSVILLE 53,SN,139,61
BROCKLIN,SN,206,111
JORDAN BRIDGE,SN,53,28
CHAIN LAKE,SN,258,140
ARLINGTON 18,SN,0,0
STORM LAKE,SN,270,142
OSO,SN,141,67
SULTAN RIVER,SN,175,127
BURN HILL,SN,203,130
RONCREST,SN,88,42
HIGH BRIDGE,SN,298,168
RICHLAND,SN,69,42
ROBINHOOD,SN,150,93
DARRINGTON,SN,199,117
SPADA,SN,4,3
HIGHLAND,SN,158,87
TRAFTON,SN,150,79
NEWBERG,SN,157,92
FAIRVIEW,SN,138,111
SLEEPY HOLLOW,SN,149,126
PACKWOOD,SN,115,57
SANDMAN,SN,145,81
WEST FORK,SN,71,27
SKYKOMISH,SN,57,54
ARLINGTON  8,SN,207,91
ARLINGTON  9,SN,187,117
ARLINGTON  4,SN,259,184
ARLINGTON  5,SN,250,147
ARLINGTON  6,SN,195,105
ARLINGTON  7,SN,261,116
ARLINGTON  1,SN,199,93
ARLINGTON  2,SN,123,107
LOCHSLOY,SN,274,118
STILLAGUAMISH,SN,66,55
AIRPARK,SN,71,16
HUCKLEBERRY,SN,99,68
WALLACE,SN,135,87
SHORTS,SN,237,172
ARLINGTON 17,SN,4,3
ARLINGTON 16,SN,154,55
ARLINGTON 15,SN,61,45
ARLINGTON 13,SN,272,113
ARLINGTON 12,SN,154,71
ARLINGTON 11,SN,102,58
ARLINGTON 10,SN,244,136
HARTFORD,SN,86,75
BOSWORTH,SN,229,155
GREGORY,SN,157,87
MONROE 12,SN,116,72
MONROE 10,SN,226,111
MONROE 11,SN,69,48
GRANITE FALLS 3,SN,71,51
GRANITE FALLS 2,SN,213,125
GRANITE FALLS 1,SN,186,119
MONROE  1,SN,213,171
MONROE  3,SN,191,128
MONROE  2,SN,199,132
MONROE  5,SN,240,152
MONROE  4,SN,188,154
MONROE  7,SN,206,102
MONROE  6,SN,165,100
MONROE  9,SN,242,111
MONROE  8,SN,145,62
ARLINGTON  3,SN,135,110
OWEN,SN,176,93
FERN,SN,82,32
WOODS CREEK,SN,171,97
MC FARLAND,SN,246,119
LUPINE,SN,157,98
HAZEL,SN,227,154
MARYSVILLE 33(*),SN,0,0
SULTAN 1,SN,201,111
GOLD BAR 2,SN,127,89
SULTAN 3,SN,177,80
SULTAN 2,SN,168,107
SULTAN 4,SN,134,88
BLUFF,SN,222,87
SAUK,SN,86,41
HIGH ROCK,SN,206,81
PILOT,SN,223,100
PILCHUCK,SN,158,113
PORTAGE,SN,107,33
HEIGHTS,SN,200,102
PILCHUCK RIVER,SN,12,10
JORDAN TRAILS,SN,121,44
MILL,SN,222,119
WINTER LAKE,SN,120,68
TUALCO,SN,131,114
MARYSVILLE 18,SN,248,106
Total,SN,19513,11450
