Row Label,County,Chris Bugbee,Sara B. Derr
PCT 3000(*),SP,0,0
PCT 3329,SP,121,168
PCT 4448,SP,129,199
PCT 3323,SP,159,219
PCT 3322,SP,123,183
PCT 3321,SP,158,227
PCT 3320,SP,116,184
PCT 3327,SP,109,156
PCT 3326,SP,53,102
PCT 4438,SP,227,324
PCT 4439,SP,175,251
PCT 3325,SP,162,289
PCT 4432,SP,169,245
PCT 4433,SP,123,154
PCT 4430,SP,175,278
PCT 3324,SP,139,220
PCT 4436,SP,224,326
PCT 4437,SP,188,279
PCT 4434,SP,244,316
PCT 4435,SP,197,230
PCT 7028,SP,195,306
PCT 7029,SP,164,195
PCT 7020,SP,194,199
PCT 7021,SP,101,148
PCT 7022,SP,130,177
PCT 7023,SP,120,205
PCT 7024,SP,222,266
PCT 7025,SP,139,224
PCT 7026,SP,170,238
PCT 7027,SP,122,212
PCT 3222,SP,80,102
PCT 3223,SP,107,144
PCT 3220,SP,204,227
PCT 3221,SP,170,239
PCT 6221,SP,270,234
PCT 6220,SP,200,238
PCT 6223,SP,219,237
PCT 6222,SP,179,148
PCT 6225,SP,197,264
PCT 6224,SP,155,228
PCT 3128,SP,113,203
PCT 3121,SP,131,170
PCT 3120,SP,116,214
PCT 3123,SP,102,190
PCT 3122,SP,149,217
PCT 3125,SP,109,175
PCT 3124,SP,132,189
PCT 3127,SP,90,195
PCT 3126,SP,31,40
PCT 9400,SP,15,12
PCT 4034,SP,128,169
PCT 4035,SP,127,122
PCT 4032,SP,103,138
PCT 4033,SP,150,142
PCT 4030,SP,93,170
PCT 4031,SP,121,171
PCT 6315,SP,86,146
PCT 6314,SP,170,210
PCT 6317,SP,101,191
PCT 6316,SP,80,97
PCT 6311,SP,135,191
PCT 6310,SP,148,201
PCT 6313,SP,159,255
PCT 6312,SP,121,211
PCT 6318,SP,162,157
PCT 6009,SP,140,186
PCT 6008,SP,131,194
PCT 9700,SP,50,73
PCT 6001,SP,167,191
