Row Label,County,Yes,No
Yelm 1,TH,117,195
Griffin,TH,225,133
Kaiser,TH,122,51
Smith Prairie,TH,139,289
Olympia 01,TH,220,85
Lacey 29,TH,237,101
Scott Lake South,TH,119,155
Tri Lakes,TH,102,107
Woodland,TH,209,132
Plumb,TH,165,240
Montgomery,TH,93,88
Olympia 10,TH,321,52
Delta(*),TH,0,0
Olympia 12,TH,116,55
Olympia 13,TH,281,56
Pleasant Hill,TH,206,179
Olympia 15,TH,238,36
Smith Lake,TH,204,156
Olympia 17,TH,139,76
Olympia 18,TH,250,74
Rocky Prairie,TH,84,168
Scatter Creek,TH,93,170
Lacey 06,TH,58,61
Henderson,TH,279,218
Mullen,TH,235,179
Marvin,TH,221,196
Rochester 4,TH,110,187
Rochester 5,TH,115,256
Rochester 2,TH,110,221
Rochester 3,TH,153,204
French,TH,291,98
Rochester 1,TH,146,292
Tumwater 11,TH,265,242
Evergreen Ballroom,TH,221,218
Littlerock,TH,272,331
Lacey 10,TH,315,85
Skookumchuck,TH,101,261
Delphi,TH,170,182
Tolmie,TH,69,77
Quince(*),TH,0,0
St Clair,TH,184,185
Olympia 58,TH,225,97
Tenino 01,TH,95,112
James,TH,109,226
Tumwater 10,TH,273,141
Lacey 14,TH,75,41
Olympia 07,TH,141,36
Olympia 06,TH,384,156
Olympia 05,TH,231,61
Olympia 04,TH,227,62
Olympia 03,TH,250,76
Olympia 02,TH,226,88
Plainview,TH,387,195
Lacey 27,TH,155,131
Delridge,TH,68,33
Military,TH,68,111
Lacey 16,TH,238,46
Lacey 39,TH,355,134
Olympia 09,TH,414,162
Sweet Briar,TH,348,148
Olympia 43,TH,313,88
Rainier 01,TH,96,196
Puget,TH,243,236
Olympia 11,TH,249,43
Vail,TH,153,271
Stedman,TH,120,161
Tumwater 13,TH,94,44
Zenkner Valley,TH,23,63
Trailblazer,TH,70,59
Libby,TH,193,123
Lackamas,TH,52,82
Broadway,TH,333,130
Johnson Point,TH,281,207
Sleater Kinney,TH,174,139
Medicine Creek,TH,70,91
Lacey 42,TH,70,37
Olympia 16,TH,42,12
Tumwater 12,TH,236,98
Prine,TH,30,42
Long Lake,TH,64,33
Lacey 33,TH,105,74
Olympia 53,TH,189,96
Lacey 31,TH,160,107
Lacey 30,TH,250,208
Greenridge,TH,115,120
Lacey 36,TH,107,107
Rich,TH,125,186
Olympia 19,TH,211,66
Butler Cove,TH,213,119
Lacey 34,TH,104,65
Mud Bay,TH,197,147
Olympia 14,TH,207,80
Mclane,TH,138,150
Tumwater 15,TH,262,157
Lawrence Lake,TH,188,267
Lacey 45,TH,116,47
Olympia 38,TH,58,22
Tilley,TH,194,216
Yelm 3,TH,148,204
Hunter Point,TH,139,102
Skokomish,TH,154,129
Schneiders Prairie,TH,173,133
Grand Mound,TH,55,120
Alpine,TH,342,272
Hays,TH,175,97
Luhr Beach,TH,213,216
Berry Valley,TH,112,177
Freedom,TH,291,144
Morris,TH,133,275
Lacey 07,TH,172,94
Lacey 04,TH,82,86
Lacey 05,TH,109,102
Lacey 02,TH,138,92
Lacey 03,TH,145,142
Deschutes,TH,134,312
Olympia 50,TH,209,55
Tumwater 28,TH,258,229
Tumwater 29,TH,0,0
Friendly Grove,TH,102,123
Olympia 51,TH,46,35
Fair Oaks,TH,137,121
Woodard Creek,TH,185,137
Pines,TH,107,169
Scott Lake North,TH,92,74
Mushroom Corner,TH,191,133
Tumwater 14,TH,102,68
Yelm 2,TH,139,175
Deerbrush,TH,205,179
Henness,TH,191,435
Lacey 09,TH,95,54
Kinwood,TH,162,131
Rainier 02,TH,86,129
Summit Lake,TH,145,184
Lacey 19,TH,116,103
Lacey 18,TH,221,131
Simmons 9,TH,4,3
Lacey 11,TH,229,67
Simmons 4,TH,11,9
Lacey 13,TH,101,62
Lacey 01,TH,86,47
Lacey 15,TH,180,138
Gull Harbor,TH,165,81
Simmons 3,TH,10,8
Olympia 59,TH,201,86
Spurgeon Creek,TH,83,87
Black River,TH,223,306
Forest,TH,312,177
Olympia 24,TH,256,51
Meadows,TH,149,153
Pattison,TH,194,171
Olympia 54,TH,189,28
Olympia 55,TH,125,63
Olympia 56,TH,205,90
Olympia 57,TH,125,52
Tykle Cove,TH,252,130
Mcallister Creek,TH,154,131
Olympia 52,TH,151,29
Mcintosh,TH,254,391
Tenino 02,TH,100,132
Olympia 39,TH,245,94
Steamboat Island,TH,192,103
Olympia 20,TH,144,31
Lacey 08,TH,123,77
Lacey 41,TH,168,137
Beach Crest,TH,159,121
Ames,TH,205,110
Jones Beach,TH,140,79
Pleasant Glade,TH,126,96
Lacey 35,TH,74,45
Evergreen Shores,TH,143,161
Hewitt Lake,TH,329,139
Tumwater 08,TH,246,142
Olympia 60,TH,144,64
Tumwater 06,TH,349,213
Tumwater 07,TH,172,128
Tumwater 04,TH,130,75
Tumwater 05,TH,158,102
Tumwater 02,TH,222,97
Tumwater 03,TH,237,127
Roosevelt,TH,271,173
Tumwater 01,TH,168,82
University North,TH,68,76
Olympia 49,TH,290,57
Olympia 48,TH,266,165
Bush Prairie,TH,43,46
Summerset,TH,310,277
Olympia 42,TH,192,40
Olympia 41,TH,293,60
Olympia 40,TH,212,69
Olympia 47,TH,285,114
Olympia 46,TH,209,109
Olympia 45,TH,142,59
Olympia 44,TH,149,27
Holmes,TH,183,137
Cooper Point,TH,253,117
Ruth Prairie,TH,57,103
Hawks Ridge,TH,83,53
Weir Prairie,TH,115,252
Wilderness,TH,322,170
Lacey 32,TH,190,157
Camelot,TH,136,108
University South,TH,115,91
Lacey 24,TH,245,194
Gallagher Cove,TH,341,223
Lacey 17,TH,166,151
Total,TH,49159,35517
College,TH,52,8
Bigelow,TH,205,127
Lacey 37,TH,61,35
Olympia 08,TH,258,85
Beaver Creek,TH,237,421
Oyster Bay,TH,246,161
Eaton Creek,TH,95,137
Lacey 28,TH,107,109
Olympia 25,TH,185,67
Four Corners,TH,211,336
South Bay,TH,205,244
Indian Summer,TH,292,129
Longmire,TH,81,146
Tumwater 24,TH,139,118
Clear Lake,TH,227,295
Airport,TH,15,15
Thompson,TH,118,88
Bucoda,TH,52,96
Glen Terra,TH,60,55
Frye Cove,TH,257,171
Cougar Mountain,TH,34,48
Mckinley,TH,84,48
Olympia 37,TH,167,58
Gibson Valley,TH,12,60
