Row Label,County,Ben Kostick
Salzer,LE,108
Napavine #2,LE,0
Napavine #3,LE,3
Jackson,LE,336
Evaline West,LE,140
Napavine #6,LE,0
Napavine #1,LE,337
Union,LE,205
Fords Prairie,LE,285
Chehalis #6,LE,270
Mauermann,LE,57
Chehalis #9,LE,13
Newaukum,LE,243
Jackson North,LE,0
Forest,LE,291
Stillwater East,LE,73
Agate,LE,144
Chehalis #1,LE,203
Boistfort,LE,86
Paradise,LE,38
Chehalis #2,LE,150
Urquhart,LE,163
Temple,LE,200
Claquato,LE,257
Evaline East,LE,99
Sommerville,LE,46
Cowlitz,LE,423
Vader,LE,99
Curtis,LE,90
Pe Ell,LE,138
Stillwater West,LE,134
Chehalis #5,LE,132
Logan,LE,263
Napavine #4,LE,0
Parcuvia,LE,197
Prescott,LE,509
Independence,LE,50
Veness,LE,250
Drews Prairie,LE,131
Alpha,LE,338
Berwick,LE,387
Skookumchuck,LE,260
Mossyrock,LE,114
Morton,LE,206
Greenwood,LE,7
Lincoln Creek,LE,207
Stearns Creek,LE,101
Mineral,LE,129
Randle East,LE,231
Klickitat,LE,159
Salmon Creek,LE,418
Salkum,LE,223
Napavine #5,LE,0
Emery,LE,147
Elk Crk,LE,86
Chehalis #4,LE,150
Cinebar,LE,222
Randle West,LE,172
Silver Creek,LE,246
Winlock,LE,220
Kelly,LE,0
Dryad,LE,91
Verndale,LE,243
Seminary Hill,LE,130
Total,LE,14067
Whealdon,LE,181
Ethel,LE,323
Meskill,LE,47
Fair,LE,0
Mellen,LE,1
Chehalis #8,LE,194
Roswell,LE,7
Chehalis #7,LE,47
Sears,LE,191
Emery North,LE,2
Adna ,LE,449
Chehalis #3,LE,160
Toledo,LE,140
Big Bottom,LE,272
Crego,LE,579
Onalaska,LE,501
Packwood,LE,71
Harmony,LE,252
