Row Label,County,Rob Lawrence-Berrey
PRECINCT 107,DG,114
PRECINCT 106,DG,129
PRECINCT 105,DG,94
PRECINCT 104,DG,329
PRECINCT 103,DG,67
PRECINCT 102,DG,272
PRECINCT 101,DG,143
PRECINCT 109,DG,101
PRECINCT 108,DG,131
PRECINCT 305,DG,113
PRECINCT 304,DG,37
PRECINCT 307,DG,34
PRECINCT 306,DG,116
PRECINCT 208,DG,118
PRECINCT 209,DG,221
PRECINCT 303,DG,144
PRECINCT 302,DG,233
PRECINCT 204,DG,218
PRECINCT 205,DG,273
PRECINCT 206,DG,119
PRECINCT 207,DG,256
PRECINCT 309,DG,54
PRECINCT 201,DG,156
PRECINCT 202,DG,64
PRECINCT 203,DG,204
PRECINCT 311,DG,88
PRECINCT 310,DG,83
PRECINCT 316,DG,201
PRECINCT 308,DG,30
PRECINCT 314,DG,38
PRECINCT 315,DG,229
PRECINCT 114,DG,115
PRECINCT 110,DG,193
PRECINCT 111,DG,230
PRECINCT 112,DG,155
PRECINCT 113,DG,150
PRECINCT 318,DG,62
PRECINCT 312,DG,125
PRECINCT 313,DG,38
PRECINCT 215,DG,194
PRECINCT 214,DG,51
PRECINCT 213,DG,113
PRECINCT 212,DG,137
PRECINCT 211,DG,59
PRECINCT 210,DG,81
PRECINCT 317,DG,314
PRECINCT 301,DG,288
Total,DG,6714
