Row Label,County,Jan Angel,Judy Arbogast
26-302,PI,471,384
26-303,PI,443,337
26-301,PI,144,80
26-328,PI,406,188
26-329,PI,497,179
26-304,PI,481,403
26-305,PI,489,351
26-324,PI,394,259
26-325,PI,366,253
26-326,PI,390,303
26-327,PI,373,278
26-320,PI,359,260
26-321,PI,453,380
26-322,PI,374,323
26-323,PI,415,351
26-348,PI,370,254
26-349,PI,399,232
26-346,PI,291,230
26-337,PI,413,289
26-344,PI,37,35
26-345,PI,397,229
26-342,PI,403,297
26-343,PI,354,247
26-340,PI,445,305
26-341,PI,364,254
26-339,PI,70,40
26-338,PI,367,197
26-315,PI,405,307
26-317,PI,365,266
26-316,PI,421,314
26-319,PI,352,249
26-318,PI,316,225
26-331,PI,127,67
26-330,PI,247,194
26-333,PI,441,233
26-336,PI,429,292
26-335,PI,316,201
26-334,PI,393,279
26-351,PI,382,245
26-350,PI,418,246
26-352,PI,354,259
26-347,PI,328,199
26-332,PI,339,251
Total,PI,15598,10765
