Row Label,County,Elizabeth Scott,Charles Jensen
TINGLEY,SK,150,82
VAN FLEET,SK,222,141
SEDRO WOOLLEY  4,SK,234,178
BIRDSVIEW,SK,274,149
SEDRO WOOLLEY  2,SK,293,157
SEDRO WOOLLEY  3,SK,168,123
SEDRO WOOLLEY  1,SK,253,164
SEDRO WOOLLEY  6,SK,218,175
SEDRO WOOLLEY  7,SK,4,5
ROCKPORT,SK,176,183
SEDRO WOOLLEY  5,SK,347,217
COLLINS,SK,173,78
CONCRETE,SK,101,70
SAMISH,SK,182,115
MCRAE,SK,406,211
PRAIRIE,SK,304,140
HAMBURG,SK,96,90
SAUK,SK,264,153
MANSFORD,SK,41,25
STERLING,SK,78,45
LYMAN,SK,70,37
NOOKACHAMPS,SK,133,104
CASCADE,SK,39,50
HAMILTON,SK,37,18
ALGER,SK,179,99
ALDER,SK,151,88
CLEAR LAKE,SK,262,158
FRUITDALE,SK,130,58
Total,SK,5153,3234
MINKLER,SK,168,121
