Row Label,County,David Sawyer,Jason Bergstrom
29-672,PI,117,132
29-639,PI,228,176
29-638,PI,137,64
29-653,PI,258,154
29-652,PI,33,12
29-651,PI,287,207
29-650,PI,233,171
29-657,PI,5,2
29-656,PI,212,186
29-655,PI,124,69
29-654,PI,258,216
29-659,PI,127,131
29-658,PI,231,207
29-675,PI,224,220
29-635,PI,69,36
29-678,PI,164,161
29-637,PI,232,133
29-633,PI,23,13
29-619,PI,227,166
29-618,PI,232,122
29-617,PI,222,194
29-616,PI,247,177
29-615,PI,287,194
29-614,PI,296,184
29-613,PI,271,181
29-612,PI,150,74
29-611,PI,66,32
29-610,PI,236,164
29-620(*),PI,0,0
29-679,PI,169,191
29-674,PI,74,78
29-621(*),PI,0,0
29-668,PI,157,182
29-670,PI,217,301
29-627,PI,0,0
29-636,PI,303,221
29-624,PI,0,0
29-625,PI,4,4
29-640,PI,239,155
29-641,PI,264,139
29-642,PI,264,192
29-643,PI,22,16
29-680,PI,164,220
29-622,PI,189,122
29-682,PI,209,187
29-677,PI,223,245
29-648,PI,5,4
29-649,PI,76,50
29-623,PI,49,37
29-626,PI,5,8
29-601,PI,223,152
29-602,PI,200,132
29-603,PI,259,130
29-604,PI,264,123
29-605,PI,200,151
29-606,PI,270,182
29-607,PI,346,167
29-608,PI,215,152
29-609,PI,189,112
29-660,PI,267,264
29-661,PI,173,200
29-667,PI,229,251
29-664,PI,246,207
29-662,PI,0,0
29-671,PI,184,240
29-663,PI,206,197
29-676,PI,204,243
29-683,PI,221,206
Total,PI,12356,9792
29-673,PI,238,253
29-669,PI,234,225
