Row Label,County,Joe Schmick
Washtucna City #1,AD,80
Batum,AD,66
Othello Rural #1,AD,64
Hatton Rural,AD,26
Ralston,AD,23
Hatton City,AD,14
Othello Rural #6,AD,129
Othello Rural #4,AD,121
Othello Rural #5,AD,75
Ritzville Rural NW,AD,120
Fairview,AD,24
Benge,AD,18
Ritzville Rural SE,AD,107
Ritzville Ward #5,AD,113
Ritzville Ward #4,AD,102
Ritzville Ward #1,AD,74
Ritzville Ward #3,AD,131
Ritzville Ward #2,AD,70
Schrag,AD,25
Cunningham,AD,6
Othello Rural #2,AD,82
Othello Rural #3,AD,180
Othello City #2,AD,138
Othello City #3,AD,124
Othello City #1,AD,17
Othello City #6,AD,92
Othello City #4,AD,158
Othello City #5,AD,147
Lind #1,AD,150
Washtucna Rural,AD,56
Lind Rural,AD,56
Total,AD,2588
