Row Label,County,Jim McDermott,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Craig Keller
SEA 36-1701,KI,182,331,8,231,0,0,41
SEA 46-2311,KI,208,451,7,256,0,0,41
SEA 34-3648,KI,197,470,12,240,0,1,30
SHL 32-0296,KI,157,377,7,201,0,1,36
BUR 34-0465,KI,90,228,7,132,0,0,35
SEA 36-1391,KI,212,439,17,262,0,1,32
SEA 36-1390,KI,162,290,13,191,0,0,16
SEA 36-1393,KI,191,297,7,209,0,0,11
SEA 36-1392,KI,224,411,7,255,0,0,24
SEA 36-1395,KI,247,444,14,276,0,4,11
SEA 36-1394,KI,290,559,16,336,0,1,29
SEA 36-1397,KI,212,357,9,233,0,0,12
SEA 36-1396,KI,144,282,6,166,0,0,16
SEA 36-1399,KI,172,296,10,205,0,0,23
SEA 36-1398,KI,223,503,13,265,0,0,29
BILOXI,KI,225,430,9,287,0,3,50
SHL 32-1209,KI,199,478,6,262,0,0,57
SEA 46-3687,KI,93,220,7,143,0,2,41
SEA 46-2290,KI,154,289,11,195,0,0,30
SEA 43-2017,KI,246,430,7,267,0,1,13
SEA 37-3416,KI,111,502,3,134,0,4,16
SEA 36-1403,KI,181,497,17,234,0,2,34
SEA 36-1402,KI,171,381,10,206,0,2,23
SEA 43-2013,KI,189,310,8,216,0,1,18
SHL 32-0232,KI,170,386,9,231,0,1,51
SEA 43-2011,KI,148,278,8,189,1,0,32
SEA 46-2353,KI,158,488,5,199,0,2,34
SEA 46-2096,KI,143,230,8,162,0,1,10
SEA 43-2018,KI,328,559,11,363,0,3,21
BUR 33-0701,KI,203,722,13,291,0,1,74
SEA 46-2097,KI,213,400,24,257,0,2,18
SEA 34-3632,KI,82,271,7,99,0,0,10
BUR 33-0705,KI,191,701,10,260,0,3,56
SEA 43-1351,KI,288,561,8,315,0,1,18
SEA 36-1751,KI,182,368,11,212,0,1,18
SEA 43-1353,KI,235,449,12,260,0,1,12
SEA 43-1352,KI,279,608,16,322,0,5,22
SEA 43-1355,KI,224,401,6,244,0,2,12
SEA 43-1354,KI,206,435,13,240,0,1,20
SEA 43-1357,KI,167,355,6,192,0,1,18
SEA 43-2049,KI,182,453,7,208,0,2,17
SEA 43-1359,KI,249,518,21,291,0,2,19
SEA 43-1358,KI,193,418,4,224,0,2,25
COVE,KI,292,545,12,350,0,0,46
SEA 37-3647,KI,122,447,7,146,0,1,16
SEA 43-2059,KI,232,424,8,252,0,0,12
SEA 46-2271,KI,272,476,12,319,0,1,34
SEA 46-2347,KI,221,519,22,281,0,0,38
SEA 46-1952,KI,149,281,8,179,0,2,20
