Row Label,County,Dave Thomas,Tom L. Pasma
VAN FLEET,SK,227,132
GEAR,SK,337,127
BIRDSVIEW,SK,270,155
BURLINGTON 7,SK,166,75
BOW,SK,266,275
ROCKPORT,SK,173,186
ROSARIO,SK,391,241
MOUNT VERNON 16,SK,348,211
EDISON,SK,147,122
MOUNT VERNON 14,SK,287,225
MOUNT VERNON 12,SK,107,77
RIDGEWAY,SK,183,106
MOUNT VERNON 10,SK,122,96
SAMISH,SK,183,116
MOUNT VERNON 19,SK,316,158
BAY VIEW,SK,228,142
BURLINGTON 2,SK,147,87
STARBIRD,SK,257,117
BURLINGTON 1,SK,98,89
BURLINGTON 6,SK,134,83
TERRACE,SK,478,198
BURLINGTON 4,SK,196,117
BURLINGTON 5,SK,251,149
MANSFORD,SK,38,27
MAPES,SK,97,55
FIR,SK,102,74
LYMAN,SK,68,38
GAGES,SK,71,27
NOOKACHAMPS,SK,139,99
SAUK,SK,233,181
VEDERE,SK,191,101
HAMILTON,SK,35,20
BLANCHARD(*),SK,0,0
POINT WILLIAMS,SK,194,151
SKYRIDGE,SK,242,140
CONCRETE,SK,92,77
ALDER,SK,145,95
CLEAR LAKE,SK,269,143
FRUITDALE,SK,129,56
SWINOMISH,SK,255,191
SEDRO WOOLLEY  6,SK,233,158
MINKLER,SK,172,114
ANACORTES 20,SK,414,296
TINGLEY,SK,151,79
ANACORTES 22,SK,373,229
ANACORTES 24,SK,606,391
BIG LAKE,SK,366,191
ANACORTES 5,SK,10,2
COLLINS,SK,166,81
AVON,SK,244,133
MARCH POINT,SK,19,8
MOUNT VERNON 30,SK,316,175
FIDALGO,SK,343,202
MOUNT VERNON  4,SK,340,230
MOUNT VERNON  5,SK,68,45
MOUNT VERNON  6,SK,135,187
MOUNT VERNON  7,SK,195,230
WHITNEY,SK,89,81
MOUNT VERNON  2,SK,102,85
MOUNT VERNON  3,SK,192,177
LAKE SIXTEEN,SK,140,67
MOUNT VERNON  8,SK,415,302
MOUNT VERNON  9,SK,129,94
DEWEY,SK,466,292
BELFAST,SK,156,77
MOUNT VERNON 15,SK,155,109
MCMURRAY EAST,SK,59,42
LAKE CAVANAUGH,SK,98,39
SHELTER BAY,SK,300,199
MOUNT VERNON 27,SK,79,48
MOUNT VERNON 22,SK,475,268
MOUNT VERNON 21,SK,387,277
LOOKOUT,SK,284,222
MOUNT VERNON 11,SK,237,144
ANACORTES  9,SK,295,164
COUNTRY CLUB,SK,132,55
ANACORTES 21,SK,553,365
MOUNT VERNON  1,SK,84,82
SEDRO WOOLLEY  2,SK,278,161
SEDRO WOOLLEY  3,SK,177,120
SEDRO WOOLLEY  1,SK,245,166
MCMURRAY WEST,SK,110,99
SEDRO WOOLLEY  7,SK,4,5
SEDRO WOOLLEY  4,SK,237,170
SEDRO WOOLLEY  5,SK,311,242
ANACORTES  1,SK,162,212
MCRAE,SK,388,226
ANACORTES  6,SK,247,167
ANACORTES  7,SK,468,379
ANACORTES  4,SK,118,165
VIEW TERRACE(*),SK,0,0
SNEE OOSH,SK,189,159
MONTBORNE,SK,332,203
STERLING,SK,86,39
FREDONIA,SK,56,30
CASCADE,SK,40,49
DIGBY,SK,30,8
HARMONY,SK,172,96
PADILLA,SK,73,29
DUNBAR,SK,46,40
LA CONNER,SK,170,226
CEDARDALE,SK,108,45
BURLINGTON 3,SK,52,45
PRAIRIE,SK,295,144
RIVERBEND,SK,8,11
HAMBURG,SK,100,81
ANACORTES 11,SK,308,263
ALLEN,SK,148,55
ANACORTES 17,SK,356,384
CONWAY,SK,93,87
LITTLE MOUNTAIN,SK,138,64
GUEMES,SK,157,233
ALGER,SK,181,97
DODGE VALLEY,SK,90,88
Total,SK,22786,15528
