Row Label,County,Chuck E. Atkins,Shane Gardner
669,CR,346,196
668,CR,337,280
667,CR,238,205
664,CR,301,262
663,CR,197,186
662,CR,301,276
660,CR,293,277
130,CR,228,385
571,CR,330,206
490,CR,281,181
491,CR,31,17
626,CR,290,228
692,CR,306,281
693,CR,168,155
690,CR,325,277
691,CR,300,247
696,CR,376,287
697,CR,399,312
694,CR,96,109
695,CR,344,263
698,CR,345,200
699,CR,279,236
450,CR,429,272
540,CR,484,206
340,CR,256,310
400,CR,154,178
595(*),CR,0,0
930,CR,350,232
452,CR,297,234
935,CR,416,193
570,CR,355,238
678,CR,214,225
679,CR,176,196
674,CR,237,263
675,CR,228,179
677,CR,272,330
670,CR,309,309
672,CR,245,225
455,CR,241,177
120,CR,262,405
575,CR,122,53
914,CR,363,207
917,CR,243,154
528,CR,385,193
910,CR,283,229
537,CR,129,100
415,CR,223,195
535,CR,553,219
410,CR,357,326
913,CR,402,249
298,CR,197,154
530,CR,160,110
296,CR,194,199
370,CR,215,192
294,CR,204,160
912,CR,243,231
925,CR,329,174
290,CR,289,263
538,CR,216,88
591,CR,517,301
590,CR,506,276
593,CR,430,225
592,CR,444,296
594,CR,8,12
597,CR,66,8
200,CR,216,359
598,CR,14,6
629,CR,295,214
700,CR,66,38
190,CR,299,317
985,CR,241,223
390,CR,345,309
110,CR,211,415
113,CR,123,172
112,CR,23,32
250,CR,311,336
536,CR,236,118
628,CR,300,278
524,CR,45,28
525,CR,264,130
527,CR,348,165
520,CR,218,118
521,CR,4,9
522,CR,137,85
523,CR,18,3
420,CR,290,275
423,CR,215,211
255,CR,263,285
425,CR,244,192
424,CR,363,272
360,CR,317,285
426,CR,431,311
586,CR,287,191
587,CR,296,182
449,CR,414,349
448,CR,420,290
582,CR,303,151
583,CR,303,164
580,CR,246,163
581,CR,174,109
441,CR,310,265
440,CR,321,271
447,CR,469,263
446,CR,356,200
445,CR,423,287
444,CR,395,351
245,CR,306,319
920,CR,307,178
108,CR,211,356
240,CR,413,293
102,CR,207,253
100,CR,246,392
615,CR,177,105
106,CR,219,297
649,CR,281,199
104,CR,293,312
903,CR,278,275
900,CR,303,224
905,CR,359,243
641,CR,116,116
640,CR,304,230
643,CR,286,215
642,CR,171,95
645,CR,378,303
644,CR,300,300
647,CR,238,166
646,CR,150,117
436,CR,189,141
510,CR,255,151
434,CR,246,170
435,CR,250,166
515,CR,440,233
430,CR,209,189
588,CR,201,124
579,CR,12,10
578,CR,32,24
627,CR,305,243
338,CR,268,276
625,CR,362,251
624,CR,83,48
335,CR,242,209
451,CR,302,251
337,CR,255,268
453,CR,269,272
577,CR,533,240
330,CR,332,252
456,CR,456,332
574,CR,17,10
600,CR,226,89
175,CR,155,227
257,CR,273,287
170,CR,176,272
543,CR,376,226
654,CR,218,159
656,CR,175,120
710,CR,130,118
180,CR,196,234
655,CR,277,211
652,CR,229,269
653,CR,236,221
650,CR,250,292
651,CR,202,194
505,CR,442,271
502,CR,287,226
503,CR,291,157
500,CR,370,273
659,CR,315,249
630,CR,222,209
631,CR,319,302
632,CR,156,141
633,CR,250,243
634,CR,273,223
635,CR,214,208
636,CR,271,203
560,CR,353,231
639,CR,251,231
545,CR,258,167
460,CR,432,354
566,CR,224,166
225,CR,382,400
160,CR,169,256
220,CR,176,240
964,CR,387,209
965,CR,346,204
966,CR,269,113
967,CR,219,143
960,CR,391,267
961,CR,65,36
962,CR,298,158
963,CR,240,191
968,CR,257,216
969,CR,184,150
658,CR,268,245
720,CR,255,188
947,CR,288,174
605,CR,418,165
150,CR,132,208
153,CR,205,189
606,CR,79,40
395,CR,63,114
603,CR,274,113
555,CR,414,280
550,CR,464,254
553,CR,334,205
584,CR,339,180
681,CR,238,215
959,CR,25,9
958,CR,62,37
951,CR,254,252
950,CR,283,242
953,CR,116,133
957,CR,87,38
638,CR,261,224
327,CR,376,234
585,CR,447,234
325,CR,225,204
620,CR,440,235
147,CR,231,242
618,CR,451,215
563,CR,379,241
613,CR,205,88
610,CR,521,295
617,CR,351,222
565,CR,281,191
511,CR,21,11
648,CR,267,198
487,CR,172,111
485,CR,294,147
673,CR,332,294
483,CR,520,298
573,CR,458,265
480,CR,470,321
686,CR,215,203
432,CR,264,171
576,CR,5,2
940,CR,327,216
680,CR,252,234
470,CR,382,363
689,CR,295,279
688,CR,259,225
350,CR,223,246
685,CR,89,67
687,CR,271,234
Total,CR,66000,51163
572,CR,460,273
596(*),CR,0,0
683,CR,262,263
682,CR,253,243
