Row Label,County,Claire R. Sussman
31-900,PI,188
29-680,PI,257
31-902,PI,389
31-903,PI,3
31-904,PI,51
31-905,PI,261
31-906,PI,162
31-907,PI,242
31-908,PI,202
31-909,PI,235
29-640,PI,295
29-641,PI,306
29-642,PI,317
29-643,PI,26
29-648,PI,6
29-649,PI,90
25-239,PI,372
25-238,PI,204
31-901,PI,38
25-235,PI,11
25-237,PI,0
25-236,PI,291
25-230,PI,91
28-588,PI,338
28-589,PI,356
28-586,PI,327
28-587,PI,240
28-584,PI,242
28-585,PI,372
28-582,PI,143
28-583,PI,211
28-580,PI,54
28-581,PI,215
25-280,PI,381
25-281,PI,261
25-282,PI,367
02-149,PI,387
25-284,PI,192
25-285,PI,485
25-286,PI,349
25-287,PI,4
25-288,PI,384
25-289,PI,0
02-140,PI,363
02-141,PI,338
02-146,PI,247
02-147,PI,254
02-144,PI,295
02-145,PI,336
27-439,PI,302
27-438,PI,298
27-435,PI,353
27-434,PI,333
27-437,PI,308
27-436,PI,340
27-431,PI,151
27-430,PI,361
27-433,PI,339
27-432,PI,338
26-339,PI,62
26-338,PI,299
26-333,PI,360
26-332,PI,323
26-331,PI,97
26-330,PI,267
26-337,PI,402
26-336,PI,442
26-335,PI,321
26-334,PI,330
28-515,PI,384
28-517,PI,429
28-516,PI,399
28-519,PI,419
28-518,PI,420
31-869,PI,135
31-865,PI,84
31-861,PI,80
26-348,PI,382
26-349,PI,370
26-346,PI,323
26-347,PI,306
26-344,PI,48
26-345,PI,345
26-342,PI,410
26-343,PI,350
26-340,PI,431
26-341,PI,345
25-271,PI,359
25-270,PI,375
25-273,PI,223
25-272,PI,344
25-275,PI,0
25-274,PI,448
25-277,PI,363
25-276,PI,16
25-279,PI,305
25-278,PI,128
29-682,PI,299
29-683,PI,317
31-923,PI,168
29-619,PI,274
29-618,PI,247
29-617,PI,289
29-616,PI,284
29-615,PI,337
29-614,PI,320
29-613,PI,316
29-612,PI,154
29-611,PI,60
29-610,PI,292
28-559,PI,321
28-558,PI,319
28-551,PI,477
28-550,PI,282
28-553,PI,418
28-552,PI,426
28-555,PI,441
28-554,PI,388
28-557,PI,307
28-556,PI,320
02-115,PI,279
02-114,PI,173
02-117,PI,336
02-116,PI,347
02-111,PI,260
25-291,PI,81
02-113,PI,234
02-112,PI,191
02-143,PI,247
25-290,PI,32
02-119,PI,210
02-118,PI,214
31-823,PI,192
31-822,PI,220
31-827,PI,74
31-826,PI,301
31-825,PI,253
31-824,PI,0
31-829,PI,248
31-828,PI,261
26-302,PI,525
26-303,PI,461
26-301,PI,144
26-304,PI,530
26-305,PI,483
31-892,PI,181
31-893,PI,0
31-890,PI,161
27-471,PI,13
31-891,PI,92
27-475,PI,292
27-477,PI,330
27-476,PI,239
31-896,PI,4
31-897,PI,127
31-894,PI,39
31-895,PI,217
31-856,PI,216
31-857,PI,136
31-854,PI,139
31-855,PI,180
31-853,PI,49
31-919,PI,259
31-917,PI,351
31-916,PI,239
31-915,PI,49
31-914,PI,202
31-913,PI,104
31-912,PI,201
31-911,PI,159
31-910,PI,230
29-653,PI,294
29-652,PI,31
29-651,PI,356
29-650,PI,313
29-657,PI,4
29-656,PI,285
29-655,PI,127
29-654,PI,329
29-659,PI,170
29-658,PI,279
25-208,PI,413
25-209,PI,397
25-201,PI,422
25-202,PI,336
25-203,PI,399
25-204,PI,340
25-205,PI,398
25-206,PI,247
28-590,PI,13
29-626,PI,7
29-627,PI,0
29-624,PI,0
