Row Label,County,Tony Golik,Josie Townsend
669,CR,267,286
668,CR,368,254
667,CR,271,173
664,CR,317,248
663,CR,232,157
662,CR,315,276
660,CR,360,213
130,CR,455,168
571,CR,270,272
490,CR,238,219
491,CR,25,23
626,CR,256,264
692,CR,289,302
693,CR,177,151
690,CR,365,246
691,CR,268,277
696,CR,386,286
697,CR,384,327
694,CR,125,81
695,CR,338,275
698,CR,261,285
699,CR,269,249
450,CR,428,277
540,CR,286,397
340,CR,345,224
400,CR,218,104
595(*),CR,0,0
930,CR,284,310
452,CR,321,213
935,CR,286,311
570,CR,299,288
678,CR,260,179
679,CR,227,149
674,CR,318,186
675,CR,246,161
677,CR,355,247
670,CR,372,241
672,CR,261,208
455,CR,228,190
120,CR,485,200
575,CR,59,117
914,CR,279,303
917,CR,213,176
528,CR,218,359
910,CR,261,255
537,CR,90,142
415,CR,248,181
535,CR,278,482
410,CR,416,272
913,CR,339,309
298,CR,203,156
530,CR,111,157
296,CR,235,166
370,CR,237,185
294,CR,194,181
912,CR,267,201
925,CR,240,261
290,CR,326,233
538,CR,95,208
591,CR,398,415
590,CR,353,423
593,CR,280,362
592,CR,349,402
594,CR,6,13
597,CR,33,38
200,CR,419,178
598,CR,12,8
629,CR,251,252
700,CR,51,53
190,CR,410,222
985,CR,265,208
390,CR,402,254
110,CR,465,176
113,CR,184,108
112,CR,35,21
250,CR,427,239
536,CR,148,208
628,CR,297,278
524,CR,34,37
525,CR,182,215
527,CR,244,271
520,CR,153,194
521,CR,7,7
522,CR,101,118
523,CR,2,19
420,CR,328,231
423,CR,262,168
255,CR,345,209
425,CR,240,187
424,CR,369,264
360,CR,346,256
426,CR,434,310
586,CR,224,252
587,CR,206,271
449,CR,489,279
448,CR,454,256
582,CR,168,279
583,CR,214,249
580,CR,202,204
581,CR,126,154
441,CR,299,259
440,CR,348,249
447,CR,394,342
446,CR,278,268
445,CR,392,318
444,CR,475,274
245,CR,388,241
920,CR,253,230
108,CR,451,134
240,CR,419,300
102,CR,307,152
100,CR,509,141
615,CR,125,147
106,CR,387,148
649,CR,227,252
104,CR,434,179
903,CR,298,263
900,CR,281,258
905,CR,319,285
641,CR,133,99
640,CR,256,290
643,CR,252,252
642,CR,134,122
645,CR,392,296
644,CR,374,241
647,CR,228,172
646,CR,141,128
436,CR,191,140
510,CR,192,225
434,CR,232,191
435,CR,228,189
515,CR,332,344
430,CR,222,173
588,CR,161,161
579,CR,17,5
578,CR,33,24
627,CR,265,274
338,CR,284,267
625,CR,269,340
624,CR,54,77
335,CR,258,189
451,CR,322,240
337,CR,305,219
453,CR,328,211
577,CR,326,436
330,CR,337,246
456,CR,466,324
574,CR,19,8
600,CR,102,204
175,CR,235,153
257,CR,341,230
170,CR,327,138
543,CR,276,341
654,CR,198,187
656,CR,165,135
710,CR,147,104
180,CR,272,167
655,CR,274,226
652,CR,297,203
653,CR,255,207
650,CR,339,199
651,CR,225,181
505,CR,359,341
502,CR,280,243
503,CR,194,255
500,CR,323,325
659,CR,303,265
630,CR,221,218
631,CR,391,234
632,CR,154,148
633,CR,279,212
634,CR,244,248
635,CR,211,214
636,CR,247,229
560,CR,325,264
639,CR,281,198
545,CR,181,245
460,CR,461,326
566,CR,191,195
225,CR,522,267
160,CR,284,151
220,CR,265,149
964,CR,313,289
965,CR,291,275
966,CR,176,213
967,CR,186,177
960,CR,360,307
961,CR,51,56
962,CR,223,231
963,CR,280,159
968,CR,294,187
969,CR,190,148
658,CR,301,214
720,CR,234,209
947,CR,243,228
605,CR,186,395
150,CR,240,109
153,CR,243,147
606,CR,45,73
395,CR,128,57
603,CR,129,252
555,CR,369,326
550,CR,347,370
553,CR,307,230
584,CR,228,278
681,CR,260,195
959,CR,10,23
958,CR,50,48
951,CR,323,191
950,CR,303,234
953,CR,157,96
957,CR,54,71
638,CR,256,224
327,CR,324,294
585,CR,334,349
325,CR,232,203
620,CR,304,369
147,CR,276,208
618,CR,289,353
563,CR,297,318
613,CR,120,165
610,CR,384,419
617,CR,238,342
565,CR,235,225
511,CR,19,12
648,CR,265,213
487,CR,121,164
485,CR,198,247
673,CR,363,273
483,CR,453,365
573,CR,341,388
480,CR,445,351
686,CR,235,176
432,CR,280,153
576,CR,2,4
940,CR,265,276
680,CR,281,209
470,CR,465,281
689,CR,307,273
688,CR,261,218
350,CR,272,202
685,CR,83,72
687,CR,248,250
Total,CR,63955,53705
572,CR,360,358
596(*),CR,0,0
683,CR,290,240
682,CR,280,220
