Row Label,County,Steven Marks
Pct 008,FR,174
Pct 009,FR,57
Pct 002,FR,90
Pct 003,FR,45
Pct 001,FR,171
Pct 006,FR,90
Pct 007,FR,87
Pct 004,FR,71
Pct 005,FR,65
Pct 082,FR,92
Pct 083,FR,79
Pct 080,FR,237
Pct 081,FR,66
Pct 086,FR,66
Pct 087,FR,58
Pct 084,FR,38
Pct 085,FR,36
Pct 088,FR,33
Pct 089,FR,101
Pct 079,FR,103
Pct 078,FR,71
Pct 077,FR,52
Pct 076,FR,78
Pct 075,FR,39
Pct 074,FR,195
Pct 073,FR,208
Pct 072,FR,118
Pct 071,FR,137
Pct 070,FR,50
Pct 101,FR,96
Pct 100,FR,85
Pct 068,FR,11
Pct 069,FR,32
Pct 064,FR,161
Pct 065,FR,84
Pct 066,FR,231
Pct 067,FR,164
Pct 060,FR,79
Pct 061,FR,234
Pct 062,FR,274
Pct 063,FR,165
Pct 059,FR,241
Pct 058,FR,17
Pct 051,FR,196
Pct 050,FR,200
Pct 053,FR,154
Pct 052,FR,49
Pct 055,FR,263
Pct 054,FR,84
Pct 057,FR,153
Pct 056,FR,138
Pct 046,FR,230
Pct 047,FR,24
Pct 044,FR,154
Pct 045,FR,204
Pct 042,FR,128
Pct 043,FR,143
Pct 040,FR,163
Pct 041,FR,98
Pct 048,FR,182
Pct 049,FR,191
Pct 033,FR,129
Pct 032,FR,327
Pct 031,FR,58
Pct 030,FR,50
Pct 037,FR,239
Pct 036,FR,231
Pct 035,FR,93
Pct 034,FR,198
Pct 039,FR,175
Pct 038,FR,158
Pct 020,FR,58
Pct 021,FR,38
Pct 022,FR,149
Pct 023,FR,255
Pct 024,FR,124
Pct 025,FR,49
Pct 026,FR,105
Pct 027,FR,69
Pct 028,FR,66
Pct 029,FR,82
Pct 019,FR,137
Pct 018,FR,51
Pct 015,FR,103
Pct 014,FR,80
Pct 017,FR,108
Pct 016,FR,14
Pct 011,FR,88
Pct 010,FR,106
Pct 013,FR,60
Pct 012,FR,65
Pct 095,FR,57
Pct 094,FR,0
Pct 097,FR,40
Pct 096,FR,70
Pct 091,FR,8
Pct 090,FR,130
Pct 093,FR,134
Pct 092,FR,115
Total,FR,11401
Pct 099,FR,26
Pct 098,FR,21
