Row Label,County,Sharon Tomiko Santos,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Daniel Bretzke
SEA 37-1919,KI,157,378,15,207,0,0,35
SEA 37-1902,KI,207,339,8,224,0,0,9
SEA 37-1576,KI,158,435,8,186,0,1,19
SEA 37-1574,KI,144,417,7,179,0,1,27
SEA 37-1575,KI,83,377,11,124,0,1,29
SEA 37-1572,KI,152,307,6,180,0,1,21
SEA 37-1570,KI,236,659,26,304,0,0,42
SEA 37-1571,KI,208,432,12,250,0,2,28
SEA 37-1823,KI,29,209,2,44,0,0,13
SEA 37-1578,KI,128,413,8,172,0,2,34
SEA 37-1579,KI,89,247,4,108,0,0,15
SEA 37-1608,KI,257,559,16,293,0,1,19
SEA 37-1609,KI,209,414,14,242,0,0,19
SEA 37-3159,KI,310,845,26,383,0,1,46
SEA 37-1607,KI,197,524,7,227,0,0,23
SEA 37-1886,KI,254,523,16,293,0,4,19
SEA 37-1884,KI,337,643,22,385,0,0,26
SEA 37-1885,KI,194,398,15,223,0,0,14
SEA 37-1882,KI,172,395,7,193,0,2,12
SEA 37-1883,KI,173,423,12,204,0,1,18
SEA 37-1880,KI,247,514,13,276,0,1,15
SEA 37-1881,KI,162,396,10,188,0,0,16
KELSEY,KI,156,439,19,209,0,0,34
SEA 37-3647,KI,116,447,7,146,0,0,23
SEA 37-1638,KI,127,505,16,162,0,0,19
SEA 37-1635,KI,155,524,19,199,0,2,23
SEA 37-1634,KI,142,473,11,191,0,1,37
SEA 37-1637,KI,223,760,19,295,0,1,52
SEA 37-1636,KI,185,586,10,217,0,0,22
SEA 37-1631,KI,129,301,24,187,0,1,33
SEA 37-1630,KI,122,309,13,169,0,0,34
SEA 37-1633,KI,126,329,15,163,0,1,21
SEA 37-1632,KI,121,292,12,173,0,3,37
SEA 37-1872,KI,284,581,17,359,0,2,56
SEA 37-1589,KI,195,290,9,217,0,1,12
SEA 37-1588,KI,137,244,6,159,0,0,16
SEA 37-1876,KI,389,766,30,444,0,0,25
SEA 37-1875,KI,258,525,14,288,0,1,15
SEA 37-1583,KI,325,700,23,382,0,2,32
SEA 37-1582,KI,233,715,16,291,0,0,42
SEA 37-1879,KI,360,839,31,424,1,1,31
SEA 37-1580,KI,137,333,5,160,0,1,17
SEA 37-1587,KI,164,311,6,195,0,0,25
SEA 37-1586,KI,234,373,13,251,0,0,4
SEA 37-1585,KI,195,358,15,233,0,0,23
SEA 37-1584,KI,182,332,8,210,0,2,18
SEA 37-3639,KI,168,303,8,191,0,0,15
SEA 37-1834,KI,160,386,15,188,0,0,13
SEA 37-2861,KI,175,391,15,243,0,0,53
SEA 37-3636,KI,246,786,12,296,0,0,38
SEA 37-1938,KI,218,394,18,247,0,2,9
SEA 37-1622,KI,174,578,22,226,0,0,30
SEA 37-1620,KI,106,418,10,140,0,0,24
SEA 37-1621,KI,130,342,8,151,0,0,13
SEA 37-1907,KI,370,657,30,432,0,1,31
SEA 37-1906,KI,242,427,20,280,0,0,18
SEA 37-1628,KI,184,444,17,215,0,0,14
SEA 37-1629,KI,185,527,13,221,0,1,22
SEA 37-1903,KI,181,312,13,218,0,3,21
SEA 37-1871,KI,345,629,26,389,0,1,17
SEA 37-1901,KI,146,260,11,163,0,0,6
SEA 37-1900,KI,169,355,16,192,1,0,6
SEA 37-3696,KI,16,49,2,18,0,0,0
SEA 37-1864,KI,201,622,19,273,0,1,52
SEA 37-1590,KI,193,294,11,228,0,1,23
SEA 37-1591,KI,217,360,15,249,0,4,13
SEA 37-1592,KI,318,634,20,361,0,5,18
SEA 37-1593,KI,223,470,16,254,0,0,15
SEA 37-1594,KI,281,761,29,343,0,1,32
SEA 37-1596,KI,201,497,27,260,0,0,32
SEA 37-3416,KI,98,502,12,134,0,3,21
LOIS,KI,144,566,13,237,0,0,80
BETTY,KI,216,775,15,263,0,0,32
SEA 37-1925,KI,126,319,11,153,0,0,16
SHAMROCK,KI,244,693,22,332,0,0,66
SEA 37-1918,KI,172,347,15,212,0,0,25
SEA 37-1652,KI,116,287,13,157,0,0,28
SEA 37-1651,KI,203,736,20,256,0,0,33
RNT 37-3154,KI,213,770,18,311,0,1,79
SEA 37-1914,KI,294,523,32,364,0,0,38
SEA 37-1915,KI,207,384,16,260,0,0,37
SEA 37-1916,KI,210,357,16,261,0,0,35
SEA 37-1917,KI,236,454,21,311,0,1,53
SEA 37-1910,KI,277,513,25,329,0,3,24
SEA 37-1911,KI,113,284,30,191,0,0,48
SEA 37-1913,KI,202,338,10,239,0,2,25
SEA 37-1854,KI,147,386,21,190,0,0,22
SEA 37-1850,KI,288,650,27,346,0,2,29
SEA 37-1853,KI,94,281,12,120,0,0,14
SEA 37-1565,KI,141,331,13,172,0,0,18
ANGEL CITY,KI,222,745,15,299,0,1,61
CORNELL,KI,236,557,18,316,0,1,61
SEA 37-1648,KI,259,695,17,327,0,0,51
SEA 37-3617,KI,177,553,19,235,0,1,38
BRYN MAWR,KI,116,365,10,201,0,0,75
CAMPBELL HILL,KI,184,642,14,250,0,0,52
RNT 37-0969,KI,0,0,0,0,0,0,0
RNT 37-0967,KI,157,503,23,236,0,1,55
RNT 37-0965,KI,220,708,30,346,0,0,96
SEA 37-1920,KI,272,574,26,339,0,2,39
SEA 37-1646,KI,121,457,9,151,1,1,19
SEA 37-1647,KI,270,669,23,349,0,3,53
SEA 37-1640,KI,234,738,16,293,1,0,42
SEA 37-1930,KI,342,738,19,391,0,1,29
SEA 37-1927,KI,180,409,15,216,0,0,21
SEA 37-1643,KI,178,682,13,228,0,0,37
SEA 37-1840,KI,230,616,23,281,0,0,28
SEA 37-1841,KI,338,813,28,396,0,2,28
RNT 37-3650,KI,128,474,18,204,0,1,57
RNT 37-0991,KI,156,619,17,250,0,1,76
RNT 37-0999,KI,242,760,14,343,0,0,87
WALLACE,KI,143,454,12,194,0,0,39
SEA 37-3567,KI,98,408,14,130,0,0,18
LAKERIDGE,KI,324,751,25,411,0,0,62
SEA 37-1936,KI,153,296,25,222,0,2,42
SEA 37-1937,KI,153,293,23,212,0,0,36
SEA 37-1934,KI,378,784,38,472,1,5,50
SEA 37-1935,KI,169,291,19,204,0,0,16
SEA 37-1932,KI,189,416,17,218,0,0,12
SEA 37-1839,KI,336,754,31,399,0,1,31
SEA 37-1838,KI,350,764,30,405,0,3,22
SEA 37-1650,KI,122,260,16,175,0,0,37
SEA 37-1833,KI,296,653,20,336,0,0,20
SEA 37-1831,KI,180,353,19,221,0,0,22
SEA 37-3694,KI,37,92,3,44,0,0,4
RNT 37-1000,KI,80,532,14,142,0,0,48
SEA 37-3693,KI,0,0,0,0,0,0,0
SEA 37-3673,KI,242,563,17,277,0,5,13
SEA 37-3672,KI,185,426,17,225,0,0,23
SEA 37-3573,KI,85,564,11,111,0,0,15
SEA 37-1558,KI,210,702,25,273,0,0,38
SEA 37-1559,KI,90,338,7,108,0,0,11
SEA 37-1555,KI,157,410,14,190,0,0,19
LANGSTON,KI,192,587,19,254,0,0,43
SEA 37-1557,KI,102,343,5,124,0,1,16
SEA 37-1553,KI,156,388,14,206,2,1,33
SEA 37-1950,KI,43,187,4,67,0,0,20
SEA 37-1898,KI,143,285,13,158,0,0,2
SEA 37-1824,KI,221,394,7,246,0,2,16
SEA 37-1825,KI,239,704,17,296,0,1,39
SEA 37-1827,KI,217,558,16,270,0,0,37
BROKEN HILL,KI,200,639,16,268,0,1,51
SEA 37-1940,KI,225,536,16,268,0,2,25
SEA 37-1944,KI,251,754,30,326,0,2,43
SEA 37-2799,KI,174,445,13,206,0,3,16
SEA 37-3666,KI,99,422,8,128,0,1,20
SEA 37-1563,KI,90,323,3,111,0,0,18
ROWAN,KI,133,356,16,195,0,1,45
SEA 37-1564,KI,169,396,7,227,0,1,50
SEA 37-1567,KI,139,332,6,156,0,0,11
SEA 37-1566,KI,102,327,17,176,0,0,57
SEA 37-1568,KI,142,434,8,179,0,0,29
SEA 37-2686,KI,222,604,29,291,0,6,34
SEA 37-1619,KI,215,449,18,256,0,2,21
SEA 37-1618,KI,161,389,10,188,0,2,15
SEA 37-1613,KI,167,292,8,200,0,1,24
SEA 37-1612,KI,147,288,14,191,0,0,30
SEA 37-1611,KI,180,289,5,191,0,1,5
SEA 37-1610,KI,178,331,15,206,0,0,13
SEA 37-1617,KI,176,323,13,201,0,0,12
SEA 37-1616,KI,182,351,9,207,0,1,15
SEA 37-1615,KI,177,343,12,205,0,1,15
SEA 37-1614,KI,123,260,8,155,0,0,24
SEA 37-1899,KI,184,338,8,195,0,0,3
EARLINGTON,KI,104,357,9,150,0,2,35
SEA 37-1891,KI,175,304,7,193,0,0,11
SEA 37-1890,KI,356,581,19,412,0,1,36
SEA 37-1893,KI,258,445,14,287,0,0,15
SEA 37-1892,KI,312,594,24,360,0,0,24
SEA 37-1895,KI,313,604,19,356,0,1,23
SEA 37-1894,KI,231,433,16,259,0,0,12
SEA 37-1897,KI,249,881,22,320,0,1,48
SEA 37-1896,KI,227,410,16,258,0,1,14
