Row Label,County,Approved,Rejcted
PCT 6210,SP,479,146
PCT 6219,SP,411,175
PCT 6211,SP,291,111
PCT 6100,SP,200,82
PCT 6101,SP,260,150
PCT 6102,SP,269,151
PCT 6103,SP,115,57
PCT 6104,SP,203,119
PCT 6105,SP,246,137
PCT 6106,SP,343,208
PCT 6107,SP,207,119
PCT 6108,SP,246,91
PCT 6109,SP,175,85
PCT 6212,SP,200,120
PCT 6213,SP,401,198
PCT 6214,SP,357,126
PCT 6215,SP,495,135
PCT 6216,SP,383,152
PCT 6217,SP,430,157
PCT 3208,SP,272,169
PCT 3209,SP,327,199
PCT 3200,SP,309,62
PCT 3201,SP,415,98
PCT 3202,SP,211,68
PCT 3203,SP,338,94
PCT 3204,SP,281,74
PCT 3205,SP,321,79
PCT 3206,SP,256,99
PCT 3207,SP,165,75
PCT 3110,SP,168,123
PCT 3111,SP,164,131
PCT 3112,SP,12,11
PCT 3113,SP,245,173
PCT 3114,SP,227,186
PCT 3115,SP,265,150
PCT 3116,SP,208,225
PCT 3117,SP,158,125
PCT 3118,SP,194,97
PCT 3119,SP,194,146
PCT 6201,SP,308,156
PCT 6200,SP,440,190
PCT 6207,SP,527,131
PCT 6206,SP,517,149
PCT 6205,SP,542,112
PCT 6204,SP,635,132
PCT 3219,SP,378,87
PCT 3218,SP,521,90
PCT 3213,SP,440,110
PCT 3212,SP,329,72
PCT 3211,SP,369,96
PCT 3210,SP,343,107
PCT 3217,SP,393,223
PCT 3216,SP,460,195
PCT 3215,SP,226,99
PCT 3214,SP,385,106
PCT 3103,SP,169,115
PCT 3102,SP,131,107
PCT 3101,SP,187,133
PCT 3100,SP,218,137
PCT 3107,SP,208,181
PCT 3106,SP,214,136
PCT 3105,SP,200,138
PCT 3104,SP,227,180
PCT 3109,SP,200,157
PCT 3108,SP,163,122
PCT 3222,SP,199,49
PCT 3223,SP,241,87
PCT 3220,SP,492,110
PCT 3221,SP,341,204
PCT 6221,SP,501,193
PCT 6220,SP,446,171
PCT 6223,SP,507,139
PCT 6222,SP,352,103
PCT 6225,SP,436,161
PCT 6224,SP,394,132
PCT 6312,SP,257,173
PCT 6302,SP,258,111
PCT 3128,SP,245,129
PCT 6300,SP,518,279
PCT 6301,SP,502,268
PCT 6306,SP,335,167
PCT 6307,SP,176,106
PCT 6304,SP,444,239
PCT 6305,SP,240,111
PCT 3121,SP,190,186
PCT 3120,SP,242,145
PCT 3123,SP,210,142
PCT 3122,SP,370,130
PCT 3125,SP,207,148
PCT 3124,SP,257,140
PCT 3127,SP,309,67
PCT 3126,SP,47,37
PCT 3329,SP,311,71
PCT 3328,SP,347,125
PCT 3323,SP,332,151
PCT 3322,SP,242,145
PCT 3321,SP,369,152
PCT 3320,SP,264,102
PCT 3327,SP,248,96
PCT 3326,SP,120,71
PCT 3325,SP,383,173
PCT 3324,SP,320,150
PCT 6208,SP,498,137
PCT 6315,SP,208,110
PCT 6314,SP,293,189
PCT 6317,SP,252,141
PCT 6316,SP,211,44
PCT 6311,SP,266,172
PCT 6310,SP,314,137
PCT 6313,SP,341,206
PCT 6303,SP,493,255
PCT 6318,SP,312,115
PCT 6203,SP,545,126
PCT 6202,SP,335,180
PCT 3318,SP,292,159
PCT 3319,SP,275,137
PCT 3316,SP,423,167
PCT 3317,SP,464,223
PCT 3314,SP,247,164
PCT 3315,SP,341,196
PCT 3312,SP,380,232
PCT 3313,SP,425,223
PCT 3310,SP,295,196
PCT 3311,SP,199,107
PCT 6308,SP,218,99
PCT 6309,SP,339,186
PCT 6209,SP,367,133
PCT 3301,SP,449,210
PCT 3300,SP,339,128
PCT 3303,SP,264,202
PCT 3302,SP,286,204
PCT 3305,SP,238,154
PCT 3304,SP,287,186
PCT 3307,SP,215,129
PCT 3306,SP,288,183
PCT 3309,SP,282,168
PCT 3308,SP,270,208
PCT 6218,SP,390,124
Total,SP,42464,19457
