Row Label,County,Mary E. Fairhurst
NORTH BONNEVILLE,SM,206
STABLER,SM,162
UNDERWOOD SOUTH,SM,117
WIND RIVER,SM,130
CAPE HORN,SM,124
SKAMANIA,SM,140
ROCK CREEK,SM,79
CARSON CREEK,SM,158
SOUTH STEVENSON,SM,35
SKYE,SM,114
HOT SPRINGS SOUTH,SM,93
NORTH STEVENSON,SM,103
CHENOWITH,SM,95
MT. PLEASANT,SM,100
BEAR PRAIRIE,SM,94
CASCADES,SM,3
NELSON CREEK,SM,65
HOT SPRINGS NORTH,SM,58
LEWIS RIVER,SM,8
UNDERWOOD NORTH,SM,146
UPPER WASHOUGAL,SM,108
WIND MOUNTAIN,SM,58
MAPLE VIEW,SM,157
Total,SM,2353
