Row Label,County,Casey Salisbury
BELFAIR,MA,358
MILL CREEK,MA,529
HARSTINE,MA,591
DAYTON,MA,336
DOWNTOWN,MA,344
AIRPORT,MA,551
MATLOCK,MA,364
AGATE,MA,403
JOHN&#39;S PRAIRIE,MA,325
OLYMPIC VIEW,MA,522
ISABELLA,MA,249
CUSHMAN,MA,503
MASON LAKE,MA,361
SAND HILL,MA,448
KAMILCHE POINT,MA,227
HILLCREST,MA,301
EELLS,MA,156
BORDEAUX,MA,74
ANGLESIDE,MA,430
ARCADIA,MA,500
HOOD CANAL,MA,457
UNION,MA,635
LIMERICK,MA,593
FAWN LAKE,MA,515
TIGER LAKE,MA,224
PICKERING,MA,382
CALLANAN,MA,15
KAMILCHE,MA,175
VICTOR,MA,293
TWANOH,MA,269
OAKLAND BAY,MA,334
TAHUYA,MA,405
ALLYN,MA,700
DEWATTO,MA,444
TIMBERLAKE,MA,514
GRAPEVIEW,MA,497
FAIR HARBOR,MA,297
TRAIL&#39;S END,MA,433
SKOKOMISH,MA,85
Total,MA,14839
