Row Label,County,Rick Larsen,B.J. Guillot
216,WM,398,83
217,WM,214,154
214,WM,350,79
215,WM,443,74
212,WM,149,85
213,WM,466,168
180    ,WM,300,144
211,WM,287,173
160    ,WM,314,170
242,WM,227,79
218,WM,249,108
219,WM,322,110
264    ,WM,339,146
238,WM,212,155
239,WM,362,189
248    ,WM,181,113
234,WM,357,177
235,WM,182,121
236,WM,125,75
237,WM,180,90
230,WM,191,68
231,WM,313,110
232,WM,284,192
174    ,WM,239,160
224,WM,136,25
182    ,WM,322,270
210,WM,495,69
261    ,WM,303,101
266    ,WM,355,142
257    ,WM,213,29
175    ,WM,313,130
243,WM,325,134
209,WM,400,110
259    ,WM,205,85
249    ,WM,345,151
181    ,WM,375,231
161    ,WM,198,96
252    ,WM,69,5
233,WM,314,147
267    ,WM,39,7
203,WM,304,198
202,WM,236,109
205,WM,233,99
204,WM,138,78
207,WM,252,73
206,WM,358,135
173    ,WM,238,176
208,WM,527,158
260    ,WM,237,149
250    ,WM,528,128
177    ,WM,215,109
255    ,WM,210,83
245,WM,166,33
244,WM,393,80
247,WM,255,41
178    ,WM,323,157
241,WM,236,115
240,WM,382,135
229,WM,343,124
228,WM,333,51
227,WM,416,82
226,WM,187,31
225,WM,378,82
170    ,WM,206,146
223,WM,285,38
222,WM,568,115
221,WM,280,218
220,WM,224,148
251    ,WM,370,85
265    ,WM,262,114
254    ,WM,268,114
258    ,WM,392,41
256    ,WM,400,74
171    ,WM,371,149
253    ,WM,250,70
169    ,WM,441,240
246,WM,279,54
201    ,WM,441,264
262    ,WM,322,72
263    ,WM,327,72
172    ,WM,200,110
Total,WM,24091,9472
176    ,WM,226,167
