Row Label,County,Yes,No
NORTH BONNEVILLE,SM,180,152
STABLER,SM,104,192
UNDERWOOD SOUTH,SM,113,78
WIND RIVER,SM,92,111
CAPE HORN,SM,96,129
SKAMANIA,SM,112,158
ROCK CREEK,SM,68,79
CARSON CREEK,SM,102,135
SOUTH STEVENSON,SM,36,22
SKYE,SM,88,106
HOT SPRINGS SOUTH,SM,75,83
NORTH STEVENSON,SM,125,65
CHENOWITH,SM,62,95
MT. PLEASANT,SM,77,98
BEAR PRAIRIE,SM,57,105
CASCADES,SM,4,5
NELSON CREEK,SM,50,54
HOT SPRINGS NORTH,SM,38,61
LEWIS RIVER,SM,9,9
UNDERWOOD NORTH,SM,121,106
UPPER WASHOUGAL,SM,74,127
WIND MOUNTAIN,SM,56,72
MAPLE VIEW,SM,163,111
Total,SM,1902,2153
