Row Label,County,Patti Connolly Walker
PCT 3329,SP,244
PCT 4448,SP,266
PCT 3323,SP,286
PCT 3322,SP,253
PCT 3321,SP,288
PCT 3320,SP,221
PCT 3327,SP,210
PCT 3326,SP,138
PCT 4438,SP,456
PCT 4439,SP,344
PCT 3325,SP,354
PCT 4432,SP,329
PCT 4433,SP,231
PCT 4430,SP,361
PCT 3324,SP,300
PCT 4436,SP,430
PCT 4437,SP,392
PCT 4434,SP,431
PCT 4435,SP,351
PCT 7028,SP,401
PCT 7029,SP,305
PCT 7020,SP,315
PCT 7021,SP,210
PCT 7022,SP,231
PCT 7023,SP,270
PCT 7024,SP,403
PCT 7025,SP,283
PCT 7026,SP,301
PCT 7027,SP,279
PCT 3222,SP,141
PCT 3223,SP,186
PCT 3220,SP,332
PCT 3221,SP,317
PCT 6221,SP,365
PCT 6220,SP,352
PCT 6223,SP,352
PCT 6222,SP,264
PCT 6225,SP,380
PCT 6224,SP,314
PCT 3128,SP,261
PCT 3121,SP,241
PCT 3120,SP,277
PCT 3123,SP,240
PCT 3122,SP,300
PCT 3125,SP,246
PCT 3124,SP,279
PCT 3127,SP,247
PCT 3126,SP,58
PCT 9400,SP,23
PCT 4034,SP,243
PCT 4035,SP,209
PCT 4032,SP,180
PCT 4033,SP,227
PCT 4030,SP,207
PCT 4031,SP,235
PCT 6315,SP,207
PCT 6314,SP,306
PCT 6317,SP,213
PCT 6316,SP,134
PCT 6311,SP,249
PCT 6310,SP,273
PCT 6313,SP,359
PCT 6312,SP,292
PCT 6318,SP,275
PCT 6009,SP,268
PCT 6008,SP,256
PCT 9700,SP,99
PCT 6001,SP,256
PCT 6000,SP,207
PCT 6003,SP,311
PCT 6002,SP,80
PCT 6005,SP,277
PCT 6004,SP,196
PCT 6007,SP,276
PCT 6006,SP,282
PCT 3301,SP,408
PCT 3300,SP,273
PCT 3303,SP,305
PCT 3302,SP,306
PCT 3305,SP,232
PCT 3304,SP,306
PCT 3307,SP,217
PCT 3306,SP,301
PCT 3309,SP,303
PCT 3308,SP,309
PCT 6500,SP,69
PCT 6218,SP,295
PCT 6219,SP,304
PCT 6210,SP,358
PCT 6211,SP,233
PCT 6212,SP,209
PCT 6213,SP,358
PCT 6214,SP,252
PCT 6215,SP,359
PCT 6216,SP,284
PCT 6217,SP,350
PCT 3110,SP,210
PCT 3111,SP,213
PCT 3112,SP,16
PCT 3113,SP,301
PCT 3114,SP,301
PCT 3115,SP,282
PCT 3116,SP,285
PCT 3117,SP,206
PCT 3118,SP,190
PCT 3119,SP,238
PCT 4429,SP,338
PCT 4428,SP,227
PCT 4425,SP,249
PCT 4424,SP,290
PCT 4427,SP,404
PCT 4426,SP,175
PCT 4421,SP,251
PCT 4420,SP,151
PCT 4423,SP,432
PCT 4422,SP,358
PCT 7033,SP,199
PCT 7032,SP,307
PCT 7031,SP,300
PCT 7030,SP,312
PCT 7036,SP,239
PCT 7035,SP,201
PCT 7034,SP,201
PCT 6602,SP,303
PCT 6601,SP,268
PCT 6600,SP,291
PCT 6030,SP,399
PCT 6031,SP,208
PCT 6032,SP,159
PCT 6033,SP,408
PCT 6034,SP,313
PCT 6035,SP,197
PCT 6036,SP,200
PCT 6037,SP,176
PCT 4450,SP,171
PCT 4451,SP,267
PCT 4452,SP,253
PCT 4453,SP,294
PCT 4454,SP,242
PCT 4455,SP,254
PCT 4029,SP,272
PCT 4028,SP,390
PCT 4021,SP,356
PCT 4020,SP,351
PCT 4023,SP,125
PCT 4022,SP,267
PCT 4025,SP,280
PCT 4024,SP,208
PCT 4027,SP,294
PCT 4026,SP,266
PCT 4431,SP,284
PCT 4414,SP,394
PCT 4415,SP,260
PCT 4416,SP,323
PCT 4417,SP,223
PCT 4410,SP,338
PCT 4411,SP,324
PCT 4412,SP,245
PCT 4413,SP,330
PCT 4418,SP,317
PCT 4419,SP,350
PCT 4201,SP,151
PCT 4200,SP,231
PCT 9600,SP,38
PCT 6100,SP,202
PCT 6101,SP,290
PCT 6102,SP,288
PCT 6103,SP,122
PCT 6104,SP,211
PCT 6105,SP,239
PCT 6106,SP,381
PCT 6107,SP,186
PCT 6108,SP,229
PCT 6109,SP,183
PCT 3208,SP,293
PCT 3209,SP,360
PCT 3200,SP,206
PCT 3201,SP,304
PCT 3202,SP,185
PCT 3203,SP,254
PCT 3204,SP,198
PCT 3205,SP,249
PCT 3206,SP,209
PCT 3207,SP,140
PCT 6209,SP,287
PCT 6208,SP,374
PCT 6203,SP,317
PCT 6202,SP,308
PCT 6201,SP,256
PCT 6200,SP,399
PCT 6207,SP,348
PCT 6206,SP,341
PCT 6205,SP,314
PCT 6204,SP,368
PCT 3103,SP,208
PCT 3102,SP,165
PCT 3101,SP,228
PCT 3100,SP,268
PCT 3107,SP,282
PCT 3106,SP,251
PCT 3105,SP,241
PCT 3104,SP,283
PCT 3109,SP,241
PCT 3108,SP,204
