Row Label,County,Vern Spatz
Montesano 601,GY,542
Riviera 050,GY,30
McCleary Rural 060,GY,278
Hoquiam 421,GY,236
Satsop 052,GY,117
Aberdeen 132,GY,0
Lois Lane 082,GY,88
Ocosta 092,GY,0
Cutoff032,GY,76
Johns River 094,GY,227
Melbourne 072,GY,231
Bush 058,GY,369
Aberdeen 121,GY,394
Geissler 036,GY,33
Coats Landing 034,GY,198
Hoquiam 441,GY,309
Grayland 096,GY,228
Hoquiam 461,GY,235
Blockhouse 068,GY,213
Boundary 044,GY,35
Westport 901,GY,417
Humptulips 018,GY,42
Chehalis 066,GY,4
Elma 302,GY,357
Aberdeen 111,GY,434
Cohasset 098,GY,147
Burrows 014,GY,26
Quinault 004,GY,112
Porter 062,GY,138
Delezenne 070,GY,259
Pacific Beach 008,GY,151
Aberdeen 131,GY,549
Elma 301,GY,167
Axford 020,GY,92
Brady 048,GY,330
Hoquiam 431,GY,294
Dekay 022,GY,47
Ocean City 012,GY,196
Moclips 010,GY,19
Montesano 603,GY,0
Cosmopolis 201,GY,426
Cedar Creek 064,GY,63
Ocean Shores 801,GY,437
Ocean Shores 802,GY,587
Ocean Shores 803,GY,505
North Wishkah 028,GY,2
Calder 056,GY,196
Lund 088,GY,57
Taholah 002,GY,164
Aberdeen 142,GY,308
Devonshire 074,GY,208
Reynvaan 040,GY,89
Aberdeen Lake 038,GY,3
Aberdeen 161,GY,427
Wilderness 016,GY,85
Hoquiam 451,GY,226
Sierra 086,GY,1
Blue Slough 084,GY,144
Black Creek 046,GY,342
Hoquiam Rural 024,GY,228
Wishkah 030,GY,195
Stover 026,GY,45
Oakville 701,GY,106
Aberdeen 141,GY,402
Vesta 076,GY,40
Artic 078,GY,40
Wynoochee 042,GY,4
Montesano 602,GY,544
Aberdeen 151,GY,247
Central Park 080,GY,464
Newskah 090,GY,15
McCleary 501,GY,303
Neilton 006,GY,58
Total,GY,14872
Hoquiam 411,GY,291
