Row Label,County,Vicky M. Dalton,Alene Lindstrand
PCT 3329,SP,284,78
PCT 4448,SP,228,160
PCT 3323,SP,311,148
PCT 3322,SP,246,119
PCT 3321,SP,324,180
PCT 3320,SP,237,120
PCT 3327,SP,245,85
PCT 3326,SP,125,56
PCT 4438,SP,336,324
PCT 4439,SP,283,215
PCT 3325,SP,414,133
PCT 4432,SP,306,216
PCT 4433,SP,204,146
PCT 4430,SP,303,233
PCT 3324,SP,324,113
PCT 4436,SP,341,359
PCT 4437,SP,328,225
PCT 4434,SP,397,325
PCT 4435,SP,313,226
PCT 7028,SP,341,348
PCT 7029,SP,242,214
PCT 7020,SP,292,259
PCT 7021,SP,166,140
PCT 7022,SP,270,156
PCT 7023,SP,250,161
PCT 7024,SP,333,328
PCT 7025,SP,242,227
PCT 7026,SP,278,247
PCT 7027,SP,243,160
PCT 3222,SP,186,51
PCT 3223,SP,257,64
PCT 3220,SP,426,157
PCT 3221,SP,328,204
PCT 6221,SP,387,272
PCT 6220,SP,342,252
PCT 6223,SP,412,211
PCT 6222,SP,230,206
PCT 6225,SP,364,215
PCT 6224,SP,350,162
PCT 3128,SP,250,119
PCT 3121,SP,215,143
PCT 3120,SP,244,130
PCT 3123,SP,206,139
PCT 3122,SP,351,143
PCT 3125,SP,232,114
PCT 3124,SP,239,145
PCT 3127,SP,289,76
PCT 3126,SP,41,37
PCT 9400,SP,20,19
PCT 4034,SP,195,186
PCT 4035,SP,135,194
PCT 4032,SP,150,163
PCT 4033,SP,200,181
PCT 4030,SP,207,139
PCT 4031,SP,193,224
PCT 6315,SP,204,102
PCT 6314,SP,309,165
PCT 6317,SP,229,148
PCT 6316,SP,146,94
PCT 6311,SP,263,169
PCT 6310,SP,282,167
PCT 6313,SP,353,186
PCT 6312,SP,244,179
PCT 6318,SP,257,170
PCT 6009,SP,241,148
PCT 6008,SP,227,165
PCT 9700,SP,89,70
PCT 6001,SP,274,200
PCT 6000,SP,185,179
PCT 6003,SP,273,276
PCT 6002,SP,70,64
PCT 6005,SP,261,184
PCT 6004,SP,225,135
PCT 6007,SP,263,176
PCT 6006,SP,260,218
PCT 3301,SP,409,231
PCT 3300,SP,226,219
PCT 3303,SP,297,154
PCT 3302,SP,284,189
PCT 3305,SP,249,131
PCT 3304,SP,295,164
PCT 3307,SP,208,123
PCT 3306,SP,279,191
PCT 3309,SP,286,153
PCT 3308,SP,288,171
PCT 6500,SP,49,53
PCT 6218,SP,320,182
PCT 6219,SP,339,219
PCT 6210,SP,432,193
PCT 6211,SP,269,136
PCT 6212,SP,206,104
PCT 6213,SP,366,216
PCT 6214,SP,316,153
PCT 6215,SP,449,159
PCT 6216,SP,361,162
PCT 6217,SP,402,177
PCT 3110,SP,179,104
PCT 3111,SP,185,96
PCT 3112,SP,14,7
PCT 3113,SP,272,141
PCT 3114,SP,250,149
PCT 3115,SP,252,149
PCT 3116,SP,246,171
PCT 3117,SP,189,86
PCT 3118,SP,201,83
PCT 3119,SP,228,105
PCT 4429,SP,292,260
PCT 4428,SP,210,154
PCT 4425,SP,203,183
PCT 4424,SP,257,211
PCT 4427,SP,353,258
PCT 4426,SP,158,129
