Row Label,County,Karl F. Sloan
JENNINGS LOOP,OK,19
MOCCASIN LAKE,OK,56
TONASKET CREEK,OK,19
FINLEY CANYON,OK,50
TUNK CREEK,OK,72
NORTH TONASKET,OK,51
FLETCHER,OK,38
GREENACRES,OK,26
OMAK #21,OK,27
BUCKHORN MTN,OK,37
GLOVER,OK,50
OMAK #22,OK,44
OMAK #23,OK,21
OMAK #24,OK,32
WEST CHEWUCH,OK,51
OKANOGAN #13,OK,20
METHOW,OK,47
ELMWAY,OK,33
BREWSTER FLAT,OK,29
TEAL LAKE,OK,27
TONASKET RURAL,OK,26
NORTH STAR,OK,9
NESPELEM CITY,OK,28
VALLEY,OK,31
OMAK RIVER,OK,35
BREWSTER #6,OK,16
OWHI,OK,28
AENEAS CREEK,OK,27
OMAK #19,OK,25
PINE CONE,OK,24
ASTON,OK,31
BREWSTER #2,OK,50
BREWSTER #3,OK,29
BREWSTER RURAL,OK,31
BREWSTER #1,OK,15
WHISKY MTN,OK,11
BREWSTER #4,OK,15
LIME BELT,OK,16
ELLISFORDE,OK,46
ALMA,OK,33
OROVILLE #8,OK,29
AENEAS LAKE,OK,45
OMAK #13,OK,31
SUNSET LAKES,OK,14
OMAK #6,OK,33
PALMER LAKE,OK,39
CARLTON,OK,33
OMAK #5,OK,45
OMAK #2,OK,35
MAZAMA,OK,65
FIKER,OK,37
OMAK #1,OK,20
PATEROS #3,OK,19
PATEROS #2,OK,26
PATEROS #1,OK,28
OKANOGAN #6,OK,42
OMAK #8,OK,23
BLACK CANYON,OK,31
CANAL,OK,31
OKANOGAN #3,OK,20
OKANOGAN #1,OK,24
COLUMBIA,OK,22
OKANOGAN #7,OK,22
TWISP RURAL,OK,48
BONAPARTE,OK,17
GUSTY RIDGE,OK,31
OROVILLE #7,OK,27
ROSS CANYON,OK,42
OKANOGAN #9,OK,36
OROVILLE #4,OK,38
KIPLING,OK,19
LONGANECKER,OK,28
NORTH OMAK,OK,23
OMAK MTN,OK,14
AVIATION,OK,15
RAT LAKE,OK,19
WINTHROP #2,OK,56
OMAK #7,OK,38
OMAK #10,OK,41
TWIN LAKES,OK,65
OMAK #4,OK,34
MOLSON,OK,50
YARNELL,OK,24
WHITESTONE,OK,24
CHEWILIKEN,OK,21
COULEE DAM #4,OK,35
OMAK #3,OK,18
HAVILLAH,OK,48
OMAK #20,OK,40
PINE CREEK,OK,28
EDELWEISS,OK,61
BUFFALO LAKE,OK,21
POORMAN CREEK,OK,70
CHESAW,OK,29
PATEROS RURAL,OK,30
CAYUSE MTN,OK,19
SOURDOUGH,OK,37
HIGHWAY,OK,17
DAVIS LAKE,OK,54
LEECHER MTN,OK,45
SOUTH OROVILLE,OK,41
BEEMAN,OK,44
MYERS CREEK,OK,12
BLUE LAKE,OK,45
POGUE,OK,59
MONSE #3,OK,23
TORODA,OK,48
MONSE #1,OK,39
BOUNDARY,OK,42
OMAK #9,OK,61
TONASKET #6,OK,22
SAN POIL,OK,55
LAKE ANDREWS,OK,36
ENGH,OK,57
OKANOGAN #2,OK,40
ANTOINE CREEK,OK,25
BRIDGE CREEK,OK,41
RIVERSIDE RURAL,OK,68
SPRING COULEE,OK,47
SPECTACLE LAKE,OK,31
AIRPORT,OK,47
DULEY LAKE,OK,27
OROVILLE #9,OK,30
FLATS,OK,28
WINTHROP #1,OK,81
OROVILLE #5,OK,31
OROVILLE #6,OK,22
CROSSROADS,OK,23
OROVILLE #1,OK,31
OROVILLE #2,OK,21
OROVILLE #3,OK,23
LIBBY CREEK,OK,53
OKANOGAN RURAL,OK,25
OKANOGAN #4,OK,38
WEST RIVER,OK,24
BALKY HILL,OK,40
COPPLE,OK,49
OKANOGAN #5,OK,49
MISSION,OK,27
NESPELEM RURAL,OK,19
PATTERSON LAKE,OK,68
MCGINNIS LAKE,OK,11
HORSESHOE LAKE,OK,30
OKANOGAN #8,OK,32
NICHOLS,OK,23
CONCONULLY CITY,OK,66
ORCHARD,OK,34
ELMER CITY,OK,70
MCCLURE MTN,OK,52
ALTA LAKE,OK,33
PEARRYGIN LAKE,OK,37
COLEMAN BUTTE,OK,44
TWISP #4,OK,22
JOHNSON CREEK,OK,48
TWISP #3,OK,52
TWISP #1,OK,69
DUFFYS MTN,OK,19
LOOMIS,OK,47
RIVERSIDE CITY,OK,58
SHORELINE,OK,19
SIMILKAMEEN,OK,22
PIONEER,OK,26
CRUMBACHER,OK,45
OMAK #11,OK,53
OMAK #12,OK,42
LONE PINE,OK,28
OMAK #14,OK,28
OMAK #15,OK,45
OMAK #16,OK,40
OMAK #17,OK,52
PICKENS MTN,OK,32
EDER,OK,35
WANNACUT,OK,54
CAPE LABELLE,OK,22
DIXON,OK,43
JANIS,OK,28
SIWASH CREEK,OK,33
BOSTON,OK,60
CHEROKEE,OK,43
RANCHES,OK,21
WOLF CREEK,OK,53
HENDRICK,OK,64
ELMERTON,OK,76
TONASKET #4,OK,28
FRONTAGE,OK,15
LEESE,OK,14
TONASKET #1,OK,27
OKANOGAN #11,OK,41
TONASKET #3,OK,15
TONASKET #2,OK,31
KERMEL,OK,38
ANGLIN,OK,53
OMAK LAKE,OK,27
SAND FLAT,OK,55
MALOTT,OK,66
DISAUTEL,OK,21
BREWSTER #5,OK,21
BODIE,OK,10
CHILIWIST,OK,36
TONASKET #5,OK,27
AENEAS,OK,29
COULEE DAM #3,OK,31
COULEE DAM #2,OK,41
COULEE DAM #1,OK,56
WESTLAKE,OK,19
TONASKET #7,OK,26
LEWIS BUTTE,OK,61
STARR,OK,18
OKANOGAN #10,OK,40
BEAVER CREEK,OK,32
NORTH MALOTT,OK,49
OKANOGAN #12,OK,27
WAUCONDA,OK,37
WINTHROP RURAL,OK,68
DUCK LAKE,OK,25
EASTSIDE,OK,68
HUDSON,OK,21
NIGHTHAWK,OK,16
CONCONULLY RURAL,OK,30
ANTOINE PEAK,OK,20
OROVILLE #10,OK,32
OMAK #18,OK,28
TWISP #2,OK,44
EASTLAKE,OK,23
Total,OK,7960
MOCK,OK,40
