Row Label,County,Mary Yu
601 Queets,JE,27
704 Port Townsend,JE,162
101 Gardiner,JE,107
501 Port Ludlow I,JE,414
200 Coyle,JE,145
708 Port Townsend,JE,429
302 Center I,JE,185
702 Port Townsend,JE,193
306 Irondale II,JE,323
300 Chimacum I,JE,204
102 Port Discovery,JE,119
105 Discovery Bay,JE,312
305 Irondale I,JE,241
710 Port Townsend,JE,251
500 Port Ludlow,JE,357
106 North Jacob,JE,235
503 Port Ludlow III,JE,241
301 Chimacum II,JE,126
706 Port Townsend,JE,488
401 Nordland,JE,303
502 Port Ludlow II,JE,227
505 Port Ludlow V,JE,284
709 Port Townsend,JE,396
303 Hadlock,JE,324
304 Kala Point,JE,354
107 South Jacob,JE,328
201 Quilcene,JE,295
308 Center II,JE,111
705 Port Townsend,JE,218
204 Brinnon,JE,377
707 Port Townsend,JE,410
104 Cape George,JE,342
103 Crocker,JE,115
600 Hoh,JE,26
703 Port Townsend,JE,229
700 Port Townsend,JE,325
504 Port Ludlow IV,JE,181
Total,JE,9787
701 Port Townsend,JE,165
307 Four Corners,JE,218
