Row Label,County,No,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Yes
SEA 37-1629,KI,93,527,21,221,0,107
SEA 46-2344,KI,133,760,7,329,0,189
SEA 46-2311,KI,98,451,5,256,0,153
SEA 34-3648,KI,86,470,14,240,0,140
SEA 46-1968,KI,66,297,9,177,0,102
SEA 36-1391,KI,100,439,6,262,0,156
SEA 36-1390,KI,58,290,18,191,0,115
SEA 36-1393,KI,54,297,9,209,0,146
SEA 36-1392,KI,73,411,12,255,0,170
SEA 36-1395,KI,75,444,9,276,0,192
SEA 36-1394,KI,95,559,15,336,0,226
SEA 36-1397,KI,62,357,13,233,0,158
SEA 36-1396,KI,53,282,4,166,0,109
SEA 36-1399,KI,89,296,4,205,0,112
SEA 36-1816,KI,75,303,6,172,0,91
SEA 46-3687,KI,73,220,3,143,0,67
SEA 43-2017,KI,43,430,8,267,0,216
SEA 37-3416,KI,28,502,8,134,0,98
SEA 36-1403,KI,80,497,15,234,0,139
SEA 36-1402,KI,61,381,13,206,0,132
SEA 43-2013,KI,50,310,9,216,0,157
SEA 43-2011,KI,56,278,8,189,0,125
SEA 46-2353,KI,75,488,10,199,1,113
SEA 46-2096,KI,35,230,6,162,0,121
SEA 43-2018,KI,74,559,19,363,0,270
SEA 34-3637,KI,181,567,17,309,0,111
SEA 46-2097,KI,78,400,18,257,0,161
SEA 34-3632,KI,44,271,5,99,0,50
SEA 46-2276,KI,78,382,6,250,0,166
SEA 43-1351,KI,60,561,10,315,0,245
SEA 37-1936,KI,67,296,9,222,0,146
SEA 43-1353,KI,49,449,1,260,0,210
SEA 43-1352,KI,66,608,14,322,0,242
SEA 43-1355,KI,51,401,12,244,0,181
SEA 43-1354,KI,53,435,8,240,0,179
SEA 43-1357,KI,58,355,9,192,0,125
SEA 43-2049,KI,43,453,13,208,0,152
SEA 43-1359,KI,56,518,7,291,0,228
SEA 43-1358,KI,74,418,11,224,0,139
SEA 37-1934,KI,147,784,24,472,0,301
SEA 37-1935,KI,59,291,10,204,0,135
SEA 37-3647,KI,28,447,8,146,0,110
SEA 43-2059,KI,53,424,11,252,0,188
SEA 37-3159,KI,191,845,21,383,0,171
SEA 46-2271,KI,103,476,12,319,0,204
SEA 46-2347,KI,117,519,10,281,0,154
SEA 46-1952,KI,68,281,5,179,0,106
SEA 46-1953,KI,55,236,11,175,0,109
SEA 46-1954,KI,85,282,7,203,0,111
SEA 37-1638,KI,59,505,18,162,0,85
SEA 36-1308,KI,51,298,4,193,0,138
SEA 36-1309,KI,114,556,15,328,0,199
SEA 36-1306,KI,60,381,11,240,0,169
SEA 36-1307,KI,45,276,10,174,0,119
SEA 36-1304,KI,64,333,8,234,0,162
SEA 36-1305,KI,61,301,10,206,0,135
SEA 37-1631,KI,98,301,14,187,0,75
SEA 36-1303,KI,94,411,11,269,0,164
SEA 36-1300,KI,80,383,11,214,0,123
SEA 36-1301,KI,56,319,12,218,0,150
SEA 36-1715,KI,50,355,9,172,0,113
SEA 36-1714,KI,104,526,10,321,0,207
SEA 36-1717,KI,30,251,14,134,0,90
SEA 36-1716,KI,43,357,5,177,0,129
SEA 36-1711,KI,112,760,13,379,0,254
SEA 36-1710,KI,58,351,5,157,0,94
SEA 36-1713,KI,71,362,7,176,0,98
SEA 36-1712,KI,96,463,9,269,0,164
