Row Label,County,Repealed,Maintained
MARYSVILLE 17,SN,132,123
WAGNER,SN,154,194
LUNDS GULCH,SN,52,52
STRAUS,SN,178,196
EVERETT  73,SN,134,127
LYNNWOOD  6,SN,130,115
EVERETT  71,SN,91,56
MENZEL,SN,121,114
EVERETT  77,SN,78,123
EVERETT  76,SN,121,121
RIDGEWAY,SN,86,102
EVERETT  74,SN,76,81
EVERETT  79,SN,116,122
EVERETT  78,SN,62,60
NILE,SN,0,0
RHODY RIDGE,SN,74,122
LARIMER,SN,118,127
ARNOT,SN,114,122
CHATHAM,SN,34,24
KINGMAN,SN,168,254
MANN,SN,146,117
FIR,SN,111,155
MARYSVILLE 44,SN,180,195
MUKILTEO 18,SN,134,263
MUKILTEO 19,SN,95,147
MARYSVILLE 41,SN,113,75
MARYSVILLE 40,SN,137,93
MARYSVILLE 43,SN,169,101
MARYSVILLE 42,SN,130,110
SILVER FIRS,SN,165,182
PORT SUSAN,SN,195,213
MUKILTEO 10,SN,87,122
MUKILTEO 11,SN,127,141
MUKILTEO 16,SN,144,240
MUKILTEO 17,SN,168,222
MUKILTEO 14,SN,155,200
MUKILTEO 15,SN,55,47
MILL CREEK 18,SN,99,143
MILL CREEK 19,SN,166,222
MILL CREEK 14,SN,2,6
MILL CREEK 15,SN,97,211
MILL CREEK 16,SN,85,113
MILL CREEK 17,SN,135,157
NORDEN,SN,136,109
MILL CREEK 11,SN,81,145
MILL CREEK 12,SN,107,149
STAFFORD,SN,77,115
MC RAE,SN,111,115
SOFIE,SN,81,89
MARYSVILLE 30,SN,158,174
MARYSVILLE 31,SN,202,222
MARYSVILLE 32,SN,112,97
MARYSVILLE 34,SN,95,138
MARYSVILLE 35,SN,138,147
MAY CREEK,SN,185,113
MARYSVILLE 37,SN,110,78
MARYSVILLE 38,SN,98,100
MARYSVILLE 39,SN,121,120
ROBE,SN,78,100
THREE LAKES,SN,127,116
LOOP,SN,163,111
VIEW,SN,140,173
LOST LAKE,SN,78,115
LAKE STEVENS  4,SN,105,136
LAKE STEVENS  5,SN,126,116
WAXON,SN,138,219
LAKE STEVENS  7,SN,151,198
LAKE STEVENS  1,SN,154,217
LAKE STEVENS  2,SN,140,139
LAKE STEVENS  3,SN,177,184
PRIEST POINT,SN,88,93
LAKE STEVENS  8,SN,144,125
LAKE STEVENS  9,SN,133,97
BOTHELL 45,SN,82,74
MONROE  1,SN,174,192
MONROE  3,SN,170,123
EVERETT  90,SN,44,36
STANWOOD 2,SN,136,114
SOUTH SNOHOMISH,SN,104,134
STANWOOD 5,SN,158,199
STANWOOD 4,SN,165,219
LYNNWOOD 23,SN,117,134
