Row Label,County,Wayne E. Harris
210,CH,213
1149,CH,29
133,CH,225
132,CH,24
131,CH,37
136,CH,4
135,CH,356
134,CH,364
490,CH,570
540,CH,336
163,CH,17
1151,CH,2
1150,CH,6
710,CH,233
120,CH,185
121,CH,177
122,CH,100
123,CH,26
124,CH,38
125,CH,352
126,CH,47
127,CH,76
128,CH,38
129,CH,129
410,CH,283
530,CH,412
590,CH,329
310,CH,138
190,CH,24
115,CH,21
114,CH,244
116,CH,85
111,CH,60
110,CH,190
113,CH,35
112,CH,18
520,CH,556
420,CH,313
580,CH,261
440,CH,453
100,CH,6
510,CH,209
430,CH,414
450,CH,386
330,CH,234
175,CH,399
174,CH,235
173,CH,13
172,CH,12
171,CH,8
730,CH,370
182,CH,258
183,CH,149
181,CH,301
560,CH,361
460,CH,362
164,CH,130
165,CH,84
161,CH,27
162,CH,22
220,CH,254
720,CH,327
151,CH,3
150,CH,38
153,CH,492
152,CH,3
155,CH,154
154,CH,424
157,CH,347
156,CH,43
159,CH,7
158,CH,163
320,CH,215
146,CH,70
147,CH,347
144,CH,19
145,CH,18
142,CH,28
143,CH,2
140,CH,107
141,CH,9
610,CH,241
148,CH,151
149,CH,169
480,CH,388
Total,CH,15005
