Row Label,County,Dave Hayes,Nick Petrish
COUNTRY CLUB,SK,126,58
BIG LAKE,SK,361,204
CEDARDALE,SK,98,50
MCMURRAY WEST,SK,106,105
SNEE OOSH,SK,162,197
ROSARIO,SK,370,279
MOUNT VERNON 16,SK,330,230
MOUNT VERNON 12,SK,100,88
RIDGEWAY,SK,158,133
MOUNT VERNON 10,SK,117,99
TERRACE,SK,436,228
STARBIRD,SK,266,108
MOUNT VERNON  7,SK,180,245
MONTBORNE,SK,329,212
LAKE SIXTEEN,SK,147,66
MOUNT VERNON  8,SK,400,316
MOUNT VERNON  9,SK,124,102
WHITNEY,SK,85,83
FIR,SK,97,81
FREDONIA,SK,55,32
CONWAY,SK,85,98
MOUNT VERNON 30,SK,299,202
GAGES,SK,69,33
MCMURRAY EAST,SK,57,45
LAKE CAVANAUGH,SK,96,38
SHELTER BAY,SK,298,210
DIGBY,SK,33,5
VEDERE,SK,172,113
HARMONY,SK,161,108
ALLEN,SK,147,49
MOUNT VERNON 27,SK,76,50
LITTLE MOUNTAIN,SK,125,81
DEWEY,SK,433,349
SKYRIDGE,SK,232,160
MOUNT VERNON 11,SK,208,175
DODGE VALLEY,SK,83,103
SWINOMISH,SK,236,213
Total,SK,7019,5181
LA CONNER,SK,162,233
