Row Label,County,Cindy Ryu
LYNNWOOD 30,SN,243
LYNNWOOD 31,SN,130
LYNNWOOD 32,SN,0
LYNNWOOD 33,SN,210
EDMONDS 49,SN,205
EDMONDS 44,SN,229
LYNNWOOD  5,SN,130
LYNNWOOD  4,SN,172
LYNNWOOD  7,SN,248
LYNNWOOD  6,SN,199
LYNNWOOD  1,SN,117
NILE,SN,0
LYNNWOOD  3,SN,186
LYNNWOOD  2,SN,162
HILLTOP,SN,266
ALDERCREST,SN,48
LYNNWOOD  9,SN,250
LYNNWOOD  8,SN,162
CHAPEL,SN,164
EDMONDS  6,SN,308
WOODWAY 2,SN,126
MAGNOLIA,SN,186
EDMONDS 45,SN,187
HOLLY,SN,265
EDMONDS 50,SN,158
PACIFIC,SN,65
MOUNTLAKE TERRACE 10,SN,308
EDMONDS 12,SN,146
MOUNTLAKE TERRACE  8,SN,211
MOUNTLAKE TERRACE  9,SN,152
EDMONDS 16,SN,201
EDMONDS 19,SN,272
EDMONDS 15,SN,177
MOUNTLAKE TERRACE  7,SN,110
ROB,SN,160
EDMONDS 14,SN,181
LYNNWOOD 23,SN,215
LYNNWOOD 22,SN,165
LYNNWOOD 21,SN,193
LYNNWOOD 20,SN,217
LYNNWOOD 26,SN,236
LYNNWOOD 25,SN,258
LYNNWOOD 24,SN,179
LYNNWOOD 29,SN,286
LYNNWOOD 28,SN,119
SUMMIT,SN,191
EDMONDS 18,SN,243
WOODWAY 1,SN,224
ANN,SN,198
Total,SN,13357
EDMONDS 52,SN,227
EDMONDS 48,SN,218
LARCH,SN,192
EDMONDS 47,SN,129
CYPRESS,SN,205
RIDGEVIEW,SN,115
EDMONDS 42,SN,173
EDMONDS 43,SN,266
EDMONDS 40,SN,231
EDMONDS 41,SN,178
LAURA,SN,253
EDMONDS 25,SN,217
LYNNWOOD 18,SN,219
EDMONDS 27,SN,204
LYNNWOOD 12,SN,210
LYNNWOOD 13,SN,153
LYNNWOOD 10,SN,131
LYNNWOOD 11,SN,205
LYNNWOOD 16,SN,182
LYNNWOOD 17,SN,268
LYNNWOOD 14,SN,168
LYNNWOOD 15,SN,155
