Row Label,County,Hugh Haffner
BLUFFS 210,CM,165
JAMESTOWN 240,CM,193
BELLEVIEW 205,CM,347
CARLSBORG 214,CM,220
MADISON CREEK 248,CM,105
OLYMPIC 254,CM,209
SEQUIM 406,CM,256
SUNLAND NORTH 270,CM,337
BLYN 211,CM,245
AGNEW 201,CM,272
FRESHWATER BAY 233,CM,389
DUNGENESS EAST 222,CM,336
CLARK 216,CM,129
SUN 269,CM,97
PORT WILLIAMS 258,CM,174
MILLER PENINSULA 246,CM,151
ELK 229,CM,73
FAIRVIEW 232,CM,324
OBRIEN 253,CM,247
HAPPY VALLEY 237,CM,155
EAGLE 226,CM,242
BOGACHIEL 212,CM,99
ROBIN HILL 266,CM,236
PRAIRIE NORTH 259,CM,249
JOYCE 241,CM,318
NEAH BAY 252,CM,159
DEER PARK 220,CM,336
DIAMOND POINT 221,CM,305
BEAVER 204,CM,177
MONTERRA 249,CM,286
COYOTE 218,CM,354
FORKS 301,CM,168
QUILEUTE 262,CM,100
CLINE 217,CM,305
FORKS 302,CM,216
BELL HILL 207,CM,282
PRAIRIE SOUTH 260,CM,299
MOUNT ANGELES 250,CM,173
MOUNT PLEASANT 251,CM,281
DUNGENESS WEST 223,CM,150
BLUE MOUNTAIN 209,CM,303
MACLEAY 247,CM,279
SEQUIM 404,CM,390
SEQUIM 405,CM,245
SEQUIM 402,CM,185
SEQUIM 403,CM,330
DRY CREEK 224,CM,280
CLALLAM BAY 215,CM,159
LOST MOUNTAIN 245,CM,164
SEQUIM 401,CM,169
RIVERSIDE 265,CM,282
BLACK DIAMOND 208,CM,178
SUNLAND SOUTH 271,CM,215
ELWHA 230,CM,90
Total,CM,12428
