Row Label,County,Robert Bishop
CAMANO 08,IS,344
CAMANO 09,IS,497
S WHIDBEY 09,IS,530
S WHIDBEY 08,IS,412
N WHIDBEY 04,IS,620
N WHIDBEY 05,IS,325
N WHIDBEY 06,IS,306
N WHIDBEY 07,IS,439
S WHIDBEY 03,IS,641
S WHIDBEY 02,IS,572
S WHIDBEY 01,IS,602
CAMANO 03,IS,498
S WHIDBEY 07,IS,522
S WHIDBEY 06,IS,533
S WHIDBEY 05,IS,565
S WHIDBEY 04,IS,499
N WHIDBEY 01,IS,568
N WHIDBEY 03,IS,434
CAMANO 01,IS,367
C WHIDBEY 03,IS,626
C WHIDBEY 02,IS,657
C WHIDBEY 01,IS,363
COUPEVILLE,IS,593
C WHIDBEY 05,IS,568
C WHIDBEY 04,IS,591
N WHIDBEY 02,IS,555
N WHIDBEY 08,IS,352
N WHIDBEY 09,IS,337
CAMANO 02,IS,520
N WHIDBEY 11,IS,87
N WHIDBEY 10,IS,151
S WHIDBEY 10,IS,500
CAMANO 04,IS,672
CAMANO 05,IS,556
CAMANO 06,IS,503
CAMANO 11,IS,499
CAMANO 10,IS,375
CAMANO 07,IS,469
OAK HARBOR 08,IS,445
OAK HARBOR 09,IS,130
OAK HARBOR 01,IS,517
OAK HARBOR 02,IS,406
OAK HARBOR 03,IS,486
OAK HARBOR 04,IS,492
OAK HARBOR 05,IS,522
OAK HARBOR 06,IS,426
OAK HARBOR 07,IS,509
LANGLEY,IS,329
Total,IS,22510
