Row Label,County,Gary L. Simpson
BIG VALLEY 441,KP,245
CHARLAND 110,KP,247
SKIFF POINT 328,KP,337
LOST HIGHWAY 157,KP,358
TRIDENT 101,KP,74
WILSON CREEK 242,KP,307
SYLVAN 066,KP,349
PORT ORCHARD 201,KP,309
EVERGREEN 257,KP,506
FERNWOOD 230,KP,402
MANCHESTER 255,KP,296
SUNNYSLOPE 281,KP,276
LOFALL 442,KP,495
BLAKELY 310,KP,351
PORT ORCHARD 207,KP,329
WOODMERE 127,KP,405
BREMERTON 058,KP,353
UELAND 082,KP,0
WATERMAN 295,KP,228
BREMERTON 054,KP,211
PIONEER 152,KP,422
SILVERDALE 160,KP,378
BREMERTON 051,KP,29
BREMERTON 052,KP,220
BREMERTON 053,KP,422
SEABECK 155,KP,447
POWERLINE 086,KP,3
PARKWOOD 270,KP,410
ISLAND LAKE 427,KP,332
BREMERTON 109,KP,31
BREIDABLIK 410,KP,373
BREMERTON 107,KP,0
WHISPERING PINES 227,KP,350
FRAGARIA 259,KP,294
LOVGREN 332,KP,226
BANDIX 263,KP,353
FORT WARD 318,KP,407
FUSON 175,KP,309
HARPER 240,KP,326
WILLOCK 258,KP,296
LIBERTY 325,KP,322
PORT ORCHARD 203,KP,194
SPRING CREEK 217,KP,250
MULLENIX 260,KP,410
LARSON 153,KP,400
FINCH 314,KP,280
ROLLING BAY 330,KP,379
BREMERTON 029,KP,284
TOTTEN 463,KP,306
WOODRIDGE 222,KP,205
MANZANITA 336,KP,274
OLD FRONTIER 106,KP,410
BREMERTON 022,KP,245
NEBRASKA 223,KP,330
EAGLE HARBOR 317,KP,278
NEW BROOKLYN 322,KP,242
TOLO 333,KP,313
FERNCLIFF 315,KP,555
S&#39;KLALLAM 418,KP,42
KITSAP LAKE 085,KP,28
PORT ORCHARD 202,KP,417
NAVY YARD CITY 095,KP,350
PORT ORCHARD 200,KP,180
SANTA FE 148,KP,312
PORT ORCHARD 206,KP,0
FIRGLADE 137,KP,223
PORT ORCHARD 204,KP,302
PORT ORCHARD 205,KP,706
HUNTER 219,KP,266
CONIFER 271,KP,204
PORT ORCHARD 208,KP,0
PORT ORCHARD 209,KP,0
KEYPORT 425,KP,425
SCANDIA 455,KP,332
PORT MADISON 340,KP,296
ALPINE 111,KP,282
LUNDBERG 250,KP,377
