Row Label,County,Jaime Herrera Beutler,Bob Dingethal
Grand Mound,TH,112,50
Scatter Creek,TH,161,90
Vail,TH,219,191
Lawrence Lake,TH,258,169
Michigan Hill,TH,137,74
Zenkner Valley,TH,74,13
Clear Lake,TH,301,196
Rochester 2,TH,225,94
Bucoda,TH,85,60
Lackamas,TH,44,85
James,TH,243,73
Gibson Valley,TH,54,11
Total,TH,2215,1258
Bald Hills,TH,55,52
Skookumchuck,TH,247,100
