Row Label,County,Mary Yu
Usk,PE,123
Diamond Lk East,PE,83
Sacheen,PE,177
Diamond Lk,PE,244
Diamond Lk West,PE,111
Noble,PE,209
Furport,PE,161
Deer Valley South,PE,48
Cusick,PE,81
Ione East,PE,108
Kalispel Leclerc,PE,105
Tiger Dry Canyon,PE,214
Ruby,PE,19
Ione West,PE,129
Newport NE,PE,177
Metaline,PE,56
Newport SE,PE,80
Skookum,PE,45
Newport NW,PE,153
Newport SW,PE,126
Dalkena,PE,182
Deer Valley North,PE,140
Locke,PE,29
Fertile Valley South,PE,121
Fertile Valley North,PE,107
Camden,PE,94
Total,PE,3240
Metaline Falls,PE,118
