Row Label,County,Terry R. Nealey,Frank Blair
Yellowhawk 58,WL,30,14
CP 3 63,WL,359,116
Touchet 5 56(*),WL,0,0
Spruce 24,WL,139,73
Birch 05,WL,149,109
Baumeister 04,WL,281,129
Jefferson 13,WL,433,147
Ice Harbor 34,WL,368,59
Alder 02,WL,109,62
Waitsburg 65,WL,383,95
Lincoln 49,WL,64,7
CP 1 61,WL,346,147
Watertown 29,WL,161,108
Frenchtown 4 45,WL,36,9
Ritz 53,WL,453,94
CP 2 62,WL,276,90
Frenchtown 5 44,WL,163,36
Alderbrook 01,WL,169,63
Baker 33,WL,82,19
Edison 08,WL,166,98
Pine 21,WL,104,70
Mill Creek 50,WL,207,51
Sharpstein 23,WL,157,104
Gose 47,WL,83,17
CP 5 67,WL,327,99
Henderson 11,WL,162,117
Burbank 38,WL,357,123
Garfield 09,WL,193,119
Washington 60,WL,124,30
Garrison 46,WL,181,45
Berney 35,WL,196,85
Isaacs 12,WL,127,74
Paine 20,WL,75,71
Pleasant 22,WL,346,172
Wallula 59,WL,27,12
Monroe 18,WL,491,141
Ash 03,WL,300,119
Dixie 41,WL,213,53
Touchet 4 55,WL,284,43
CP 6 68,WL,52,14
Eureka 4 43(*),WL,0,0
Blalock 36,WL,349,109
Stadium 25,WL,138,112
Clyde 39,WL,28,5
CP 4 66,WL,388,160
Pros Point 52,WL,747,193
Wainwright 28,WL,306,127
Moore 51,WL,175,52
Derry 40,WL,124,31
Eureka 5 42(*),WL,0,0
College 07,WL,133,139
Prescott 64,WL,62,21
Green Park 10,WL,104,105
Twin Grove 57,WL,194,53
Tausick 26,WL,196,72
Marcus 17,WL,490,180
Braden 37,WL,429,96
McNary 54,WL,212,39
Maple 16,WL,364,192
Total,WL,13009,4881
Abbott 31,WL,258,64
Clark 06,WL,100,81
