Row Label,County,Dan Roach
31-900,PI,222
31-901,PI,39
31-902,PI,428
31-903,PI,5
31-904,PI,57
31-905,PI,314
31-906,PI,174
31-907,PI,269
31-908,PI,232
31-909,PI,254
02-129,PI,232
31-856,PI,268
31-857,PI,174
31-854,PI,157
31-865,PI,95
31-853,PI,64
31-919,PI,286
31-917,PI,428
31-916,PI,280
31-915,PI,62
31-914,PI,235
31-913,PI,137
31-912,PI,219
31-911,PI,171
31-910,PI,268
02-136,PI,71
02-130,PI,183
31-869,PI,162
31-845,PI,254
31-844,PI,220
31-847,PI,148
31-846,PI,129
31-841,PI,158
31-840,PI,147
31-843,PI,225
31-842,PI,292
31-849,PI,117
31-848,PI,54
25-280,PI,455
25-281,PI,282
25-282,PI,420
25-283,PI,232
25-284,PI,209
25-285,PI,550
25-286,PI,376
25-287,PI,3
25-288,PI,437
25-289,PI,0
31-875,PI,409
31-877,PI,159
31-879,PI,84
02-154,PI,350
25-266,PI,474
25-267,PI,201
25-264,PI,433
25-265,PI,400
25-268,PI,207
25-269,PI,272
31-861,PI,89
25-271,PI,399
25-270,PI,421
25-272,PI,403
25-275,PI,0
25-277,PI,409
25-276,PI,12
25-279,PI,343
25-278,PI,153
31-924,PI,208
31-926,PI,10
31-927,PI,293
31-855,PI,201
31-925,PI,74
31-923,PI,226
31-920,PI,208
31-921,PI,273
02-115,PI,311
02-114,PI,202
31-893,PI,1
02-116,PI,414
31-896,PI,5
31-897,PI,173
31-894,PI,49
31-895,PI,279
31-898,PI,330
31-899,PI,191
02-110,PI,223
31-834,PI,272
31-835,PI,471
31-836,PI,325
31-837,PI,245
02-113,PI,254
31-833,PI,313
02-112,PI,218
31-838,PI,227
31-839,PI,22
31-881,PI,203
31-880,PI,122
31-883,PI,430
31-882,PI,335
02-111,PI,305
31-884,PI,414
31-887,PI,265
31-886,PI,317
31-888,PI,254
Total,PI,24075
