Row Label,County,Jessyn Farrell,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Branden Curtis
LFP 46-3380,KI,260,579,29,368,0,1,78
SEA 46-2328,KI,103,299,20,147,0,0,24
SEA 46-3688,KI,14,24,0,15,0,0,1
KMR 46-0820,KI,139,365,15,212,0,0,58
KMR 46-2771,KI,237,699,39,412,0,0,136
SEA 46-3687,KI,97,220,16,143,0,1,29
SEA 46-2304,KI,188,369,23,233,0,0,22
SEA 46-2305,KI,192,364,24,253,0,0,37
SEA 46-2306,KI,158,307,19,195,0,0,18
SEA 46-2127,KI,209,494,23,278,0,0,46
SEA 46-2300,KI,263,490,25,327,0,1,38
SEA 46-2302,KI,201,408,31,265,0,0,33
SEA 46-2095,KI,152,279,15,187,0,1,19
SEA 46-2221,KI,221,513,36,298,0,0,41
SEA 46-2308,KI,174,377,21,230,0,0,35
SEA 46-2309,KI,142,300,18,184,0,2,22
LFP 46-0003,KI,190,477,24,273,0,0,59
KMR 46-0501,KI,207,546,24,304,0,2,71
SEA 46-2275,KI,58,127,6,71,0,1,6
SEA 46-2339,KI,124,330,21,171,0,0,26
SEA 46-2338,KI,194,543,19,260,0,1,46
LFP 46-1056,KI,224,536,25,332,1,0,82
SEA 46-2330,KI,177,420,19,232,0,0,36
SEA 46-2333,KI,163,371,22,221,0,0,36
SEA 46-2332,KI,124,248,17,165,0,0,24
SEA 46-2335,KI,209,609,18,268,0,0,41
SEA 46-2334,KI,276,573,23,343,0,0,44
SEA 46-2337,KI,140,347,17,185,0,3,25
SEA 46-2336,KI,276,707,24,350,0,0,50
SEA 46-2347,KI,216,519,27,281,0,0,38
SEA 46-1952,KI,142,281,23,179,0,0,14
SEA 46-1953,KI,146,236,11,175,0,0,18
SEA 46-1954,KI,153,282,17,203,0,0,33
SEA 46-1955,KI,230,558,30,289,0,0,29
SEA 46-1957,KI,217,553,39,354,0,1,97
SEA 46-1959,KI,342,703,62,491,0,3,84
SEA 46-2234,KI,149,274,10,182,0,0,23
SEA 46-2236,KI,162,350,21,218,0,2,33
SEA 46-2796,KI,160,456,24,229,0,1,44
SEA 46-3677,KI,133,320,19,181,0,2,27
SEA 46-2231,KI,281,619,39,366,0,1,45
KMR 46-1181,KI,103,295,16,169,0,0,50
SEA 46-2282,KI,348,653,39,429,0,0,42
KMR 46-0696,KI,302,728,31,455,0,0,122
KMR 46-0695,KI,183,532,31,299,0,1,84
LFP 46-2439,KI,143,311,13,200,0,0,44
SEA 46-2321,KI,199,333,17,225,0,0,9
SEA 46-1284,KI,116,278,11,140,0,0,13
SEA 46-1285,KI,139,303,22,182,0,0,21
SEA 46-2286,KI,226,437,21,279,0,0,32
SEA 46-2280,KI,318,645,40,396,0,0,38
SEA 46-1282,KI,301,656,41,399,0,3,54
SEA 46-1283,KI,165,391,16,204,0,0,23
SEA 46-2326,KI,198,574,32,271,0,1,40
SEA 46-2327,KI,134,381,30,190,0,0,26
SEA 46-2324,KI,192,432,21,237,0,1,23
SEA 46-2325,KI,150,405,23,242,0,0,69
SEA 46-2289,KI,158,338,27,203,0,0,18
SEA 46-2323,KI,228,554,43,310,0,1,38
LFP 46-1186,KI,176,436,29,250,0,2,43
LFP 46-0517,KI,205,445,25,273,0,0,43
SEA 46-1965,KI,153,292,21,190,0,0,16
SEA 46-1964,KI,199,499,25,247,0,0,23
SEA 46-1967,KI,265,497,25,320,0,0,30
SEA 46-1966,KI,122,234,5,144,0,1,16
SEA 46-1961,KI,142,272,18,182,0,0,22
SEA 46-1963,KI,112,278,22,152,0,0,18
SEA 46-1962,KI,156,295,18,208,0,0,34
SEA 46-2379,KI,254,542,38,332,0,1,39
SEA 46-1969,KI,114,278,24,169,0,0,31
SEA 46-1968,KI,143,297,13,177,0,0,21
SEA 46-2094,KI,156,283,10,178,0,0,12
KMR 46-0689,KI,235,550,17,347,0,1,94
SEA 46-2096,KI,138,230,16,162,0,0,8
SEA 46-2097,KI,211,400,31,257,0,0,15
SEA 46-2090,KI,203,494,24,262,0,0,35
SEA 46-2091,KI,190,451,37,265,0,3,35
SEA 46-2092,KI,197,311,14,225,0,0,14
SEA 46-2093,KI,276,462,23,317,0,0,18
SEA 46-2098,KI,229,436,25,285,0,0,31
SEA 46-2099,KI,228,437,27,293,0,1,37
